
Spine Part Mean Diameter Neck
 ==================== 
Spine Part Mean Diameter Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.62491,µm,Spine,Spine Part Mean Diameter,1,2,1,100000000,610000003039,
0.433482,µm,Spine,Spine Part Mean Diameter,1,2,1,100000000,610000003050,
0.416667,µm,Spine,Spine Part Mean Diameter,1,2,1,100000000,610000003059,
0.42107,µm,Spine,Spine Part Mean Diameter,2,2,1,100000000,610000003065,
0.416667,µm,Spine,Spine Part Mean Diameter,4,2,1,100000001,610000003073,
0.653313,µm,Spine,Spine Part Mean Diameter,2,2,1,100000000,610000003082,
0.568664,µm,Spine,Spine Part Mean Diameter,2,2,1,100000000,610000003090,
0.472502,µm,Spine,Spine Part Mean Diameter,2,2,1,100000000,610000003096,
0.586873,µm,Spine,Spine Part Mean Diameter,4,3,1,100000000,610000003102,
0,µm,Spine,Spine Part Mean Diameter,4,3,1,100000000,610000003106,
0,µm,Spine,Spine Part Mean Diameter,2,3,1,100000000,610000003108,
0,µm,Spine,Spine Part Mean Diameter,3,3,1,100000000,610000003112,
0.416667,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000003117,
0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000003121,
0.445089,µm,Spine,Spine Part Mean Diameter,7,4,1,100000000,610000003127,
0.946953,µm,Spine,Spine Part Mean Diameter,6,3,1,100000001,610000003133,
0,µm,Spine,Spine Part Mean Diameter,6,3,1,100000001,610000003137,
0.561178,µm,Spine,Spine Part Mean Diameter,6,3,1,100000001,610000003140,
0.985578,µm,Spine,Spine Part Mean Diameter,2,2,1,100000000,610000003148,
0.880609,µm,Spine,Spine Part Mean Diameter,2,2,1,100000000,610000003155,
1.09622,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000003169,
1.09935,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000003183,
1.5619,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000003193,
0.695567,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000003204,
0.594394,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000003214,
0.744589,µm,Spine,Spine Part Mean Diameter,2,2,1,100000000,610000003217,
0.788357,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000003228,
0.645607,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000003236,
0.827014,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000003239,
0.589911,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000003247,
0.603,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000003256,
0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000003258,
0.569294,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000003265,
0,µm,Spine,Spine Part Mean Diameter,3,2,1,100000000,610000003268,
1.19792,µm,Spine,Spine Part Mean Diameter,1,1,1,100000000,610000003271,
0.620272,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000003278,
0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000003280,
0,µm,Spine,Spine Part Mean Diameter,4,2,1,100000000,610000003282,
0.739222,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000003286,
0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000003290,
0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000003294,
0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000003298,
0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000003301,
0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000003304,
0.784478,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000003309,
0,µm,Spine,Spine Part Mean Diameter,7,3,1,100000000,610000003312,
