
Cumulative Volume Outside Img=1
 ==================== 
Distance to Surface,Cumulative Volume Outside,Unit,Collection,Image,Time,ID,
0.277,4936.42,µm^3,Cumulative Volume Outside,Image 1,1,,
0.831,9492.08,µm^3,Cumulative Volume Outside,Image 1,1,,
1.385,14068,µm^3,Cumulative Volume Outside,Image 1,1,,
1.939,18725.7,µm^3,Cumulative Volume Outside,Image 1,1,,
2.493,23482.4,µm^3,Cumulative Volume Outside,Image 1,1,,
3.047,28279.2,µm^3,Cumulative Volume Outside,Image 1,1,,
3.601,33104.7,µm^3,Cumulative Volume Outside,Image 1,1,,
4.155,37931.8,µm^3,Cumulative Volume Outside,Image 1,1,,
4.709,42794.8,µm^3,Cumulative Volume Outside,Image 1,1,,
5.263,47720.5,µm^3,Cumulative Volume Outside,Image 1,1,,
5.817,52673.4,µm^3,Cumulative Volume Outside,Image 1,1,,
6.371,57659.3,µm^3,Cumulative Volume Outside,Image 1,1,,
6.925,62719.9,µm^3,Cumulative Volume Outside,Image 1,1,,
7.479,67827.9,µm^3,Cumulative Volume Outside,Image 1,1,,
8.033,72989,µm^3,Cumulative Volume Outside,Image 1,1,,
8.587,78215.2,µm^3,Cumulative Volume Outside,Image 1,1,,
9.141,83485.9,µm^3,Cumulative Volume Outside,Image 1,1,,
9.695,88819.2,µm^3,Cumulative Volume Outside,Image 1,1,,
10.249,94226.8,µm^3,Cumulative Volume Outside,Image 1,1,,
10.803,99688.6,µm^3,Cumulative Volume Outside,Image 1,1,,
11.357,105201,µm^3,Cumulative Volume Outside,Image 1,1,,
11.911,110761,µm^3,Cumulative Volume Outside,Image 1,1,,
12.465,116301,µm^3,Cumulative Volume Outside,Image 1,1,,
13.019,121825,µm^3,Cumulative Volume Outside,Image 1,1,,
13.573,127304,µm^3,Cumulative Volume Outside,Image 1,1,,
14.127,132725,µm^3,Cumulative Volume Outside,Image 1,1,,
14.681,138089,µm^3,Cumulative Volume Outside,Image 1,1,,
15.235,143418,µm^3,Cumulative Volume Outside,Image 1,1,,
15.789,148693,µm^3,Cumulative Volume Outside,Image 1,1,,
16.343,153909,µm^3,Cumulative Volume Outside,Image 1,1,,
16.897,159121,µm^3,Cumulative Volume Outside,Image 1,1,,
17.451,164298,µm^3,Cumulative Volume Outside,Image 1,1,,
18.005,169480,µm^3,Cumulative Volume Outside,Image 1,1,,
18.559,174635,µm^3,Cumulative Volume Outside,Image 1,1,,
19.113,179788,µm^3,Cumulative Volume Outside,Image 1,1,,
19.667,184982,µm^3,Cumulative Volume Outside,Image 1,1,,
20.221,190176,µm^3,Cumulative Volume Outside,Image 1,1,,
