
Intensity Sum Ch=2 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
1.18549e+06,,Surface,2,Image 1,1,0,
704922,,Surface,2,Image 1,1,1,
