
Soma Center of Image Mass Z
 ==================== 
Soma Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,FilamentID,ID,
1512.98,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1513.57,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1512.98,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1513.12,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1513.57,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1523.68,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1522.91,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1523.68,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1523.79,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1522.91,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000001,800000001,
