
Spine Area
 ==================== 
Spine Area,Unit,Category,Depth,Level,Time,FilamentID,ID,
11.2691,µm^2,Spine,1,2,1,100000000,610000003039,
8.38913,µm^2,Spine,1,2,1,100000000,610000003050,
6.02374,µm^2,Spine,1,2,1,100000000,610000003059,
4.52707,µm^2,Spine,2,2,1,100000000,610000003065,
4.65944,µm^2,Spine,4,2,1,100000001,610000003073,
9.53558,µm^2,Spine,2,2,1,100000000,610000003082,
7.63711,µm^2,Spine,2,2,1,100000000,610000003090,
4.35552,µm^2,Spine,2,2,1,100000000,610000003096,
5.90629,µm^2,Spine,4,3,1,100000000,610000003102,
3.5652,µm^2,Spine,4,3,1,100000000,610000003106,
2.34379,µm^2,Spine,2,3,1,100000000,610000003108,
4.72886,µm^2,Spine,3,3,1,100000000,610000003112,
3.38273,µm^2,Spine,0,1,1,100000000,610000003117,
3.10511,µm^2,Spine,0,1,1,100000000,610000003121,
4.48355,µm^2,Spine,7,4,1,100000000,610000003127,
7.10715,µm^2,Spine,6,3,1,100000001,610000003133,
6.48839,µm^2,Spine,6,3,1,100000001,610000003137,
4.90524,µm^2,Spine,6,3,1,100000001,610000003140,
8.63524,µm^2,Spine,2,2,1,100000000,610000003148,
7.08735,µm^2,Spine,2,2,1,100000000,610000003155,
18.014,µm^2,Spine,0,1,1,100000001,610000003169,
19.4973,µm^2,Spine,0,1,1,100000001,610000003183,
23.4305,µm^2,Spine,0,1,1,100000001,610000003193,
17.031,µm^2,Spine,0,1,1,100000001,610000003204,
14.9069,µm^2,Spine,0,1,1,100000001,610000003214,
2.96355,µm^2,Spine,2,2,1,100000000,610000003217,
15.7859,µm^2,Spine,0,1,1,100000001,610000003228,
15.1705,µm^2,Spine,0,1,1,100000001,610000003236,
6.30771,µm^2,Spine,0,1,1,100000000,610000003239,
11.602,µm^2,Spine,0,1,1,100000001,610000003247,
16.7174,µm^2,Spine,0,1,1,100000001,610000003256,
3.69363,µm^2,Spine,0,1,1,100000001,610000003258,
12.1799,µm^2,Spine,0,1,1,100000001,610000003265,
4.57845,µm^2,Spine,3,2,1,100000000,610000003268,
6.52502,µm^2,Spine,1,1,1,100000000,610000003271,
8.21085,µm^2,Spine,0,1,1,100000001,610000003278,
5.63446,µm^2,Spine,0,1,1,100000000,610000003280,
4.36342,µm^2,Spine,4,2,1,100000000,610000003282,
2.22488,µm^2,Spine,0,1,1,100000000,610000003286,
7.21685,µm^2,Spine,0,1,1,100000001,610000003290,
10.041,µm^2,Spine,0,1,1,100000001,610000003294,
3.95251,µm^2,Spine,0,1,1,100000000,610000003298,
0.272708,µm^2,Spine,0,1,1,100000000,610000003301,
3.37093,µm^2,Spine,0,1,1,100000000,610000003304,
5.07171,µm^2,Spine,0,1,1,100000000,610000003309,
3.94758,µm^2,Spine,7,3,1,100000000,610000003312,
3.87841,µm^2,Spine,1,2,1,100000000,610000003314,
0.823599,µm^2,Spine,0,1,1,100000000,610000003316,
3.10205,µm^2,Spine,2,2,1,100000000,610000003318,
6.50796,µm^2,Spine,0,1,1,100000001,610000003321,
16.5003,µm^2,Spine,0,1,1,100000001,610000003326,
5.53912,µm^2,Spine,0,1,1,100000000,610000003329,
2.35697,µm^2,Spine,0,1,1,100000000,610000003334,
5.37014,µm^2,Spine,0,1,1,100000001,610000003337,
3.15789,µm^2,Spine,0,1,1,100000001,610000003341,
