
Spine Mean Diameter
 ==================== 
Spine Mean Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.528034,µm,Spine,1,2,1,100000000,610000003039,
0.55507,µm,Spine,1,2,1,100000000,610000003050,
0.496008,µm,Spine,1,2,1,100000000,610000003059,
0.517366,µm,Spine,2,2,1,100000000,610000003065,
0.51175,µm,Spine,4,2,1,100000001,610000003073,
0.71987,µm,Spine,2,2,1,100000000,610000003082,
0.692876,µm,Spine,2,2,1,100000000,610000003090,
0.58318,µm,Spine,2,2,1,100000000,610000003096,
0.634548,µm,Spine,4,3,1,100000000,610000003102,
0.576291,µm,Spine,4,3,1,100000000,610000003106,
0.488298,µm,Spine,2,3,1,100000000,610000003108,
0.508063,µm,Spine,3,3,1,100000000,610000003112,
0.711967,µm,Spine,0,1,1,100000000,610000003117,
0.771028,µm,Spine,0,1,1,100000000,610000003121,
0.525436,µm,Spine,7,4,1,100000000,610000003127,
0.65046,µm,Spine,6,3,1,100000001,610000003133,
0.725729,µm,Spine,6,3,1,100000001,610000003137,
0.63679,µm,Spine,6,3,1,100000001,610000003140,
0.812322,µm,Spine,2,2,1,100000000,610000003148,
0.813211,µm,Spine,2,2,1,100000000,610000003155,
0.975679,µm,Spine,0,1,1,100000001,610000003169,
0.97765,µm,Spine,0,1,1,100000001,610000003183,
1.41564,µm,Spine,0,1,1,100000001,610000003193,
0.959431,µm,Spine,0,1,1,100000001,610000003204,
0.891093,µm,Spine,0,1,1,100000001,610000003214,
0.713432,µm,Spine,2,2,1,100000000,610000003217,
0.92477,µm,Spine,0,1,1,100000001,610000003228,
1.02477,µm,Spine,0,1,1,100000001,610000003236,
1.02812,µm,Spine,0,1,1,100000000,610000003239,
0.897064,µm,Spine,0,1,1,100000001,610000003247,
0.995989,µm,Spine,0,1,1,100000001,610000003256,
0.714223,µm,Spine,0,1,1,100000001,610000003258,
0.933929,µm,Spine,0,1,1,100000001,610000003265,
0.906054,µm,Spine,3,2,1,100000000,610000003268,
1.24894,µm,Spine,1,1,1,100000000,610000003271,
0.848462,µm,Spine,0,1,1,100000001,610000003278,
1.19504,µm,Spine,0,1,1,100000000,610000003280,
0.902219,µm,Spine,4,2,1,100000000,610000003282,
1.00471,µm,Spine,0,1,1,100000000,610000003286,
0.926652,µm,Spine,0,1,1,100000001,610000003290,
1.39152,µm,Spine,0,1,1,100000001,610000003294,
0.639292,µm,Spine,0,1,1,100000000,610000003298,
0.789014,µm,Spine,0,1,1,100000000,610000003301,
0.991618,µm,Spine,0,1,1,100000000,610000003304,
0.642837,µm,Spine,0,1,1,100000000,610000003309,
0.668115,µm,Spine,7,3,1,100000000,610000003312,
1.15904,µm,Spine,1,2,1,100000000,610000003314,
0.816993,µm,Spine,0,1,1,100000000,610000003316,
0.841474,µm,Spine,2,2,1,100000000,610000003318,
1.03645,µm,Spine,0,1,1,100000001,610000003321,
1.87939,µm,Spine,0,1,1,100000001,610000003326,
0.686377,µm,Spine,0,1,1,100000000,610000003329,
0.653256,µm,Spine,0,1,1,100000000,610000003334,
1.10253,µm,Spine,0,1,1,100000001,610000003337,
0.986123,µm,Spine,0,1,1,100000001,610000003341,
0.906778,µm,Spine,0,1,1,100000000,610000003346,
1.87853,µm,Spine,0,1,1,100000001,610000003350,
1.48415,µm,Spine,0,1,1,100000001,610000003352,
0.416667,µm,Spine,0,1,1,100000001,610000003355,
1.24304,µm,Spine,0,1,1,100000001,610000003358,
1.35813,µm,Spine,0,1,1,100000001,610000003360,
1.62549,µm,Spine,1,1,1,100000001,610000003363,
0.575483,µm,Spine,0,1,1,100000000,610000003368,
0.934245,µm,Spine,0,1,1,100000000,610000003371,
0.604259,µm,Spine,0,1,1,100000000,610000003378,
1.36169,µm,Spine,0,1,1,100000000,610000003381,
1.20682,µm,Spine,1,1,1,100000001,610000003384,
1.99603,µm,Spine,0,1,1,100000001,610000003393,
0.814294,µm,Spine,4,3,1,100000000,610000003405,
0.822112,µm,Spine,3,2,1,100000000,610000003406,
1.59695,µm,Spine,0,1,1,100000000,610000003408,
0.711407,µm,Spine,6,2,1,100000000,610000003413,
0.980197,µm,Spine,0,1,1,100000000,610000003414,
0.676652,µm,Spine,0,1,1,100000000,610000003415,
1.147,µm,Spine,0,1,1,100000000,610000003416,
0.96227,µm,Spine,3,2,1,100000000,610000003417,
1.16082,µm,Spine,0,1,1,100000000,610000003418,
0.813618,µm,Spine,0,1,1,100000000,610000003421,
1.03095,µm,Spine,0,1,1,100000000,610000003422,
1.02856,µm,Spine,0,1,1,100000000,610000003423,
0.802928,µm,Spine,0,1,1,100000000,610000003424,
1.43603,µm,Spine,0,1,1,100000000,610000003425,
0.792243,µm,Spine,10,4,1,100000001,610000003428,
0.779217,µm,Spine,7,2,1,100000001,610000003429,
0.738643,µm,Spine,7,2,1,100000001,610000003430,
0.93902,µm,Spine,6,2,1,100000001,610000003431,
1.61126,µm,Spine,3,1,1,100000001,610000003432,
1.80175,µm,Spine,1,1,1,100000001,610000003433,
1.73568,µm,Spine,1,1,1,100000001,610000003434,
1.46424,µm,Spine,1,1,1,100000001,610000003435,
0.714365,µm,Spine,5,3,1,100000001,610000003436,
0.84485,µm,Spine,5,3,1,100000001,610000003437,
0.780661,µm,Spine,0,1,1,100000001,610000003438,
1.27221,µm,Spine,0,1,1,100000001,610000003439,
1.53343,µm,Spine,0,1,1,100000001,610000003440,
