
Spine Part Volume Head
 ==================== 
Spine Part Volume Head,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.00567434,µm^3,Spine,Spine Part Volume,3,2,1,100000001,610000001619,
0.00317185,µm^3,Spine,Spine Part Volume,2,2,1,100000001,610000001622,
0.0032099,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000001625,
0.00459664,µm^3,Spine,Spine Part Volume,2,3,1,100000002,610000001631,
0.00756608,µm^3,Spine,Spine Part Volume,3,2,1,100000001,610000001639,
0.00188118,µm^3,Spine,Spine Part Volume,2,2,1,100000002,610000001642,
0.0108457,µm^3,Spine,Spine Part Volume,2,3,1,100000002,610000001646,
0.00112339,µm^3,Spine,Spine Part Volume,2,1,1,100000000,610000001648,
0.00177203,µm^3,Spine,Spine Part Volume,3,1,1,100000002,610000001650,
0.013823,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000001652,
0.0037541,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000001655,
0.0258651,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000001661,
0.00984885,µm^3,Spine,Spine Part Volume,1,1,1,100000002,610000001665,
0.00322265,µm^3,Spine,Spine Part Volume,2,3,1,100000002,610000001668,
0.00286583,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000001670,
0.00112339,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000001673,
0.0139563,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000001676,
0.0204025,µm^3,Spine,Spine Part Volume,1,1,1,100000002,610000001680,
0.00677589,µm^3,Spine,Spine Part Volume,3,2,1,100000002,610000001686,
0.00201369,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000001688,
0.00376334,µm^3,Spine,Spine Part Volume,4,2,1,100000002,610000001690,
0.0175529,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000001692,
0.00160141,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000001694,
0.00563057,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000001699,
0.102011,µm^3,Spine,Spine Part Volume,4,3,1,100000000,610000001702,
0.0296136,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000001709,
0.00556976,µm^3,Spine,Spine Part Volume,3,2,1,100000001,610000001712,
0.0148508,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000001716,
0.0251166,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000001719,
0.0295384,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000001728,
0.00728249,µm^3,Spine,Spine Part Volume,2,1,1,100000000,610000001739,
0.00435998,µm^3,Spine,Spine Part Volume,4,3,1,100000000,610000001740,
0.00112339,µm^3,Spine,Spine Part Volume,4,2,1,100000000,610000001741,
0.00379142,µm^3,Spine,Spine Part Volume,1,2,1,100000001,610000001742,
0.00316899,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000001743,
0.00543789,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000001749,
0.00629797,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000001750,
0.00870867,µm^3,Spine,Spine Part Volume,4,1,1,100000002,610000001751,
0.00403336,µm^3,Spine,Spine Part Volume,3,2,1,100000002,610000001752,
0.0186469,µm^3,Spine,Spine Part Volume,1,1,1,100000002,610000001753,
0.0197563,µm^3,Spine,Spine Part Volume,1,1,1,100000002,610000001754,
0.038039,µm^3,Spine,Spine Part Volume,2,2,1,100000002,610000001755,
0.0284179,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000001756,
0.00558309,µm^3,Spine,Spine Part Volume,9,5,1,100000002,610000001760,
0.00961375,µm^3,Spine,Spine Part Volume,4,2,1,100000002,610000001761,
0.00601755,µm^3,Spine,Spine Part Volume,2,2,1,100000002,610000001762,
0.00263176,µm^3,Spine,Spine Part Volume,6,4,1,100000002,610000001763,
0.00261461,µm^3,Spine,Spine Part Volume,3,3,1,100000002,610000001764,
0.00159951,µm^3,Spine,Spine Part Volume,6,4,1,100000002,610000001765,
0.0200158,µm^3,Spine,Spine Part Volume,4,2,1,100000002,610000001766,
0.0176325,µm^3,Spine,Spine Part Volume,2,1,1,100000002,610000001767,
0.017718,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000001768,
0.0375293,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000001769,
0.0164383,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000001771,
