
Spine Attachment Pt Diameter
 ==================== 
Spine Attachment Pt Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.363298,µm,Spine,3,2,1,100000001,610000001619,
0.275859,µm,Spine,2,2,1,100000001,610000001622,
0.310005,µm,Spine,0,1,1,100000002,610000001625,
0.283176,µm,Spine,2,3,1,100000002,610000001631,
0.363298,µm,Spine,3,2,1,100000001,610000001639,
0.251558,µm,Spine,2,2,1,100000002,610000001642,
0.310345,µm,Spine,2,3,1,100000002,610000001646,
0.243106,µm,Spine,2,1,1,100000000,610000001648,
0.317551,µm,Spine,3,1,1,100000002,610000001650,
0.185203,µm,Spine,0,1,1,100000001,610000001652,
0.407875,µm,Spine,0,1,1,100000002,610000001655,
0.259917,µm,Spine,0,1,1,100000002,610000001661,
0.349575,µm,Spine,1,1,1,100000002,610000001665,
0.283176,µm,Spine,2,3,1,100000002,610000001668,
0.512283,µm,Spine,0,1,1,100000002,610000001670,
0.428405,µm,Spine,0,1,1,100000002,610000001673,
0.1625,µm,Spine,0,1,1,100000001,610000001676,
0.349575,µm,Spine,1,1,1,100000002,610000001680,
0.287193,µm,Spine,3,2,1,100000002,610000001686,
0.512283,µm,Spine,0,1,1,100000002,610000001688,
0.394753,µm,Spine,4,2,1,100000002,610000001690,
0.344825,µm,Spine,0,1,1,100000001,610000001692,
0.331223,µm,Spine,0,1,1,100000002,610000001694,
0.442993,µm,Spine,0,1,1,100000002,610000001699,
0.592526,µm,Spine,4,3,1,100000000,610000001702,
0.374428,µm,Spine,0,1,1,100000002,610000001709,
0.363298,µm,Spine,3,2,1,100000001,610000001712,
0.379907,µm,Spine,0,1,1,100000002,610000001716,
0.583326,µm,Spine,0,1,1,100000002,610000001719,
0.402998,µm,Spine,0,1,1,100000002,610000001728,
0.295026,µm,Spine,2,1,1,100000000,610000001739,
0.315974,µm,Spine,4,3,1,100000000,610000001740,
0.279547,µm,Spine,4,2,1,100000000,610000001741,
0.310597,µm,Spine,1,2,1,100000001,610000001742,
0.272998,µm,Spine,0,1,1,100000001,610000001743,
0.315618,µm,Spine,0,1,1,100000001,610000001749,
0.346928,µm,Spine,0,1,1,100000001,610000001750,
0.359887,µm,Spine,4,1,1,100000002,610000001751,
0.287193,µm,Spine,3,2,1,100000002,610000001752,
0.349575,µm,Spine,1,1,1,100000002,610000001753,
0.402345,µm,Spine,1,1,1,100000002,610000001754,
0.510825,µm,Spine,2,2,1,100000002,610000001755,
0.506731,µm,Spine,0,1,1,100000002,610000001756,
0.326242,µm,Spine,9,5,1,100000002,610000001760,
0.430698,µm,Spine,4,2,1,100000002,610000001761,
0.33697,µm,Spine,2,2,1,100000002,610000001762,
0.297847,µm,Spine,6,4,1,100000002,610000001763,
0.357291,µm,Spine,3,3,1,100000002,610000001764,
0.229089,µm,Spine,6,4,1,100000002,610000001765,
0.478723,µm,Spine,4,2,1,100000002,610000001766,
0.408756,µm,Spine,2,1,1,100000002,610000001767,
0.495762,µm,Spine,0,1,1,100000002,610000001768,
0.506157,µm,Spine,0,1,1,100000002,610000001769,
0.407875,µm,Spine,0,1,1,100000002,610000001771,
