
Segment Branching Angle B
 ==================== 
Segment Branching Angle B,Unit,Category,Depth,Level,Time,FilamentID,ID,
63.6134,°,Segment,1,2,1,100000000,510000000040,
0,°,Segment,0,1,1,100000000,510000000081,
29.0659,°,Segment,2,1,1,100000000,510000000102,
53.5125,°,Segment,2,2,1,100000000,510000000107,
19.554,°,Segment,5,1,1,100000002,510000000128,
29.2319,°,Segment,4,1,1,100000002,510000000147,
55.4227,°,Segment,3,1,1,100000002,510000000171,
73.5335,°,Segment,2,1,1,100000002,510000000173,
52.2485,°,Segment,1,1,1,100000002,510000000206,
0,°,Segment,0,1,1,100000002,510000000247,
73.8393,°,Segment,4,2,1,100000002,510000000250,
22.9576,°,Segment,3,2,1,100000002,510000000271,
52.885,°,Segment,3,2,1,100000002,510000000283,
49.3912,°,Segment,2,2,1,100000002,510000000299,
65.9174,°,Segment,3,3,1,100000002,510000000301,
32.8261,°,Segment,3,2,1,100000001,510000000374,
4.70203,°,Segment,2,2,1,100000001,510000000376,
0,°,Segment,0,1,1,100000001,510000000425,
50.899,°,Segment,3,3,1,100000001,510000000448,
75.5953,°,Segment,10,4,1,100000002,510000000454,
42.1072,°,Segment,9,4,1,100000002,510000000488,
18.5845,°,Segment,8,4,1,100000002,510000000492,
40.7515,°,Segment,6,4,1,100000002,510000000498,
41.8948,°,Segment,5,4,1,100000002,510000000520,
48.7753,°,Segment,4,3,1,100000002,510000000526,
22.4173,°,Segment,3,3,1,100000002,510000000531,
36.0961,°,Segment,2,2,1,100000002,510000000541,
43.4663,°,Segment,1,2,1,100000002,510000000554,
0,°,Segment,0,1,1,100000002,510000000578,
99.6649,°,Segment,2,3,1,100000001,510000000582,
18.1638,°,Segment,10,5,1,100000002,510000000585,
92.4176,°,Segment,1,1,1,100000001,510000000587,
53.0436,°,Segment,9,5,1,100000002,510000000602,
15.2252,°,Segment,5,4,1,100000000,510000000612,
67.5127,°,Segment,4,3,1,100000000,510000000630,
79.5912,°,Segment,3,2,1,100000000,510000000648,
29.355,°,Segment,2,1,1,100000000,510000000656,
27.0053,°,Segment,1,1,1,100000000,510000000665,
0,°,Segment,0,1,1,100000000,510000000697,
62.6715,°,Segment,8,5,1,100000002,510000000713,
82.8106,°,Segment,4,2,1,100000000,510000000750,
59.4207,°,Segment,7,5,1,100000002,510000000755,
95.319,°,Segment,6,5,1,100000002,510000000759,
65.9449,°,Segment,5,3,1,100000002,510000000774,
24.9631,°,Segment,9,4,1,100000002,510000000804,
38.3685,°,Segment,7,3,1,100000002,510000000813,
6.55098,°,Segment,6,3,1,100000002,510000000815,
22.2672,°,Segment,5,3,1,100000002,510000000820,
41.0202,°,Segment,3,3,1,100000002,510000000841,
22.5402,°,Segment,2,2,1,100000002,510000000844,
16.5774,°,Segment,1,1,1,100000002,510000000847,
0,°,Segment,0,1,1,100000002,510000000871,
68.2412,°,Segment,2,2,1,100000001,510000000887,
37.8012,°,Segment,1,1,1,100000001,510000000904,
0,°,Segment,0,1,1,100000001,510000000920,
48.8677,°,Segment,4,2,1,100000002,510000000951,
88.5749,°,Segment,3,2,1,100000002,510000000960,
47.2161,°,Segment,2,1,1,100000001,510000000963,
75.5273,°,Segment,4,3,1,100000002,510000000968,
75.5585,°,Segment,9,5,1,100000002,510000000971,
89.3043,°,Segment,8,3,1,100000002,510000000973,
92.0948,°,Segment,4,4,1,100000002,510000000977,
16.2635,°,Segment,2,3,1,100000001,510000000988,
114.552,°,Segment,1,2,1,100000001,510000000995,
0,°,Segment,0,1,1,100000001,510000001061,
32.4044,°,Segment,3,1,1,100000000,510000001067,
27.1333,°,Segment,2,2,1,100000001,510000001090,
16.3931,°,Segment,1,1,1,100000001,510000001096,
44.8161,°,Segment,5,4,1,100000002,510000001126,
66.2957,°,Segment,6,4,1,100000002,510000001143,
30.6242,°,Segment,2,1,1,100000001,510000001161,
61.8478,°,Segment,6,4,1,100000002,510000001178,
20.9761,°,Segment,5,3,1,100000002,510000001182,
20.6067,°,Segment,2,3,1,100000002,510000001194,
14.9898,°,Segment,1,2,1,100000002,510000001204,
53.3294,°,Segment,7,4,1,100000002,510000001207,
68.7318,°,Segment,1,2,1,100000000,510000001216,
47.9034,°,Segment,2,2,1,100000000,510000001219,
66.327,°,Segment,2,2,1,100000002,510000001223,
118.021,°,Segment,1,2,1,100000002,510000001240,
52.3396,°,Segment,1,2,1,100000001,510000001247,
66.5445,°,Segment,2,3,1,100000002,510000001251,
101.465,°,Segment,2,2,1,100000001,510000001255,
40.4761,°,Segment,2,3,1,100000002,510000001260,
55.8662,°,Segment,2,2,1,100000002,510000001267,
70.0972,°,Segment,5,2,1,100000002,510000001273,
101.096,°,Segment,4,4,1,100000002,510000001277,
67.6773,°,Segment,1,1,1,100000002,510000001293,
47.5981,°,Segment,1,2,1,100000000,510000001304,
0,°,Segment,0,1,1,100000000,510000001319,
44.5074,°,Segment,4,3,1,100000002,510000001330,
97.3953,°,Segment,1,1,1,100000000,510000001334,
40.5365,°,Segment,6,3,1,100000002,510000001336,
0,°,Segment,0,1,1,100000001,510000001392,
79.755,°,Segment,1,2,1,100000002,510000001403,
83.5417,°,Segment,2,1,1,100000002,510000001409,
0,°,Segment,0,1,1,100000001,510000001416,
0,°,Segment,0,1,1,100000002,510000001444,
52.0066,°,Segment,1,1,1,100000000,510000001454,
60.2212,°,Segment,5,3,1,100000000,510000001455,
17.8716,°,Segment,1,2,1,100000001,510000001456,
79.7903,°,Segment,5,2,1,100000002,510000001458,
28.8321,°,Segment,7,4,1,100000002,510000001460,
47.8503,°,Segment,4,3,1,100000002,510000001464,
20.6391,°,Segment,8,4,1,100000002,510000001465,
49.4229,°,Segment,3,2,1,100000002,510000001466,
28.4102,°,Segment,4,2,1,100000002,510000001467,
