
Soma Position
 ==================== 
Soma Position X,Soma Position Y,Soma Position Z,Unit,Category,Collection,Time,FilamentID,ID,
2444.31,19933.5,1473.71,µm,Soma,Soma Position,1,100000000,800000000,
2445.8,19929.8,1472.09,µm,Soma,Soma Position,1,100000001,800000001,
2431.85,19928.8,1470.51,µm,Soma,Soma Position,1,100000002,800000002,
