
Spine Part Min Diameter Head
 ==================== 
Spine Part Min Diameter Head,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.1625,µm,Spine,Spine Part Min Diameter,3,2,1,100000001,610000001619,
0.229675,µm,Spine,Spine Part Min Diameter,2,2,1,100000001,610000001622,
0.23059,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001625,
0.1625,µm,Spine,Spine Part Min Diameter,2,3,1,100000002,610000001631,
0.192444,µm,Spine,Spine Part Min Diameter,3,2,1,100000001,610000001639,
0.192969,µm,Spine,Spine Part Min Diameter,2,2,1,100000002,610000001642,
0.1625,µm,Spine,Spine Part Min Diameter,2,3,1,100000002,610000001646,
0.1625,µm,Spine,Spine Part Min Diameter,2,1,1,100000000,610000001648,
0.189162,µm,Spine,Spine Part Min Diameter,3,1,1,100000002,610000001650,
0.375155,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001652,
0.242947,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001655,
0.462291,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001661,
0.335073,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000001665,
0.230895,µm,Spine,Spine Part Min Diameter,2,3,1,100000002,610000001668,
0.222038,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001670,
0.1625,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001673,
0.376357,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001676,
0.427141,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000001680,
0.295801,µm,Spine,Spine Part Min Diameter,3,2,1,100000002,610000001686,
0.197397,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001688,
0.243147,µm,Spine,Spine Part Min Diameter,4,2,1,100000002,610000001690,
0.40625,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001692,
0.182885,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001694,
0.278096,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001699,
0.730397,µm,Spine,Spine Part Min Diameter,4,3,1,100000000,610000001702,
0.483624,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001709,
0.277091,µm,Spine,Spine Part Min Diameter,3,2,1,100000001,610000001712,
0.384233,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001716,
0.457787,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001719,
0.483214,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001728,
0.302996,µm,Spine,Spine Part Min Diameter,2,1,1,100000000,610000001739,
0.255371,µm,Spine,Spine Part Min Diameter,4,3,1,100000000,610000001740,
0.1625,µm,Spine,Spine Part Min Diameter,4,2,1,100000000,610000001741,
0.24375,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000001742,
0.229606,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001743,
0.274887,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001749,
0.288676,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001750,
0.321609,µm,Spine,Spine Part Min Diameter,4,1,1,100000002,610000001751,
0.248828,µm,Spine,Spine Part Min Diameter,3,2,1,100000002,610000001752,
0.414521,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000001753,
0.422583,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000001754,
0.525719,µm,Spine,Spine Part Min Diameter,2,2,1,100000002,610000001755,
0.477025,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001756,
0.277312,µm,Spine,Spine Part Min Diameter,9,5,1,100000002,610000001760,
0.332385,µm,Spine,Spine Part Min Diameter,4,2,1,100000002,610000001761,
0.284326,µm,Spine,Spine Part Min Diameter,2,2,1,100000002,610000001762,
0.21582,µm,Spine,Spine Part Min Diameter,6,4,1,100000002,610000001763,
0.215351,µm,Spine,Spine Part Min Diameter,3,3,1,100000002,610000001764,
0.182812,µm,Spine,Spine Part Min Diameter,6,4,1,100000002,610000001765,
0.424426,µm,Spine,Spine Part Min Diameter,4,2,1,100000002,610000001766,
0.406864,µm,Spine,Spine Part Min Diameter,2,1,1,100000002,610000001767,
0.407519,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001768,
0.52336,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001769,
0.397462,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001771,
