
Intensity Max Ch=4 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
189,,Surface,4,Image 1,1,0,
122,,Surface,4,Image 1,1,1,
158,,Surface,4,Image 1,1,2,
138,,Surface,4,Image 1,1,3,
