
Spine Part Length Neck
 ==================== 
Spine Part Length Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0,µm,Spine,Spine Part Length,7,3,1,100000001,610000002737,
0,µm,Spine,Spine Part Length,6,2,1,100000001,610000002738,
0,µm,Spine,Spine Part Length,6,2,1,100000001,610000002739,
0,µm,Spine,Spine Part Length,6,2,1,100000001,610000002740,
0,µm,Spine,Spine Part Length,5,2,1,100000001,610000002741,
0,µm,Spine,Spine Part Length,5,3,1,100000001,610000002742,
0,µm,Spine,Spine Part Length,0,1,1,100000001,610000002743,
0,µm,Spine,Spine Part Length,3,2,1,100000002,610000002745,
0,µm,Spine,Spine Part Length,3,2,1,100000002,610000002746,
0,µm,Spine,Spine Part Length,7,4,1,100000002,610000002747,
0,µm,Spine,Spine Part Length,6,4,1,100000002,610000002748,
0,µm,Spine,Spine Part Length,6,4,1,100000002,610000002749,
0,µm,Spine,Spine Part Length,4,3,1,100000002,610000002750,
0,µm,Spine,Spine Part Length,4,4,1,100000002,610000002751,
0,µm,Spine,Spine Part Length,3,2,1,100000002,610000002752,
0,µm,Spine,Spine Part Length,3,3,1,100000002,610000002753,
0,µm,Spine,Spine Part Length,2,2,1,100000002,610000002754,
0,µm,Spine,Spine Part Length,2,2,1,100000002,610000002755,
0,µm,Spine,Spine Part Length,0,1,1,100000002,610000002756,
0,µm,Spine,Spine Part Length,0,1,1,100000002,610000002757,
0,µm,Spine,Spine Part Length,5,3,1,100000002,610000002759,
0,µm,Spine,Spine Part Length,5,3,1,100000002,610000002760,
0,µm,Spine,Spine Part Length,5,4,1,100000002,610000002761,
0,µm,Spine,Spine Part Length,4,3,1,100000002,610000002762,
0,µm,Spine,Spine Part Length,3,3,1,100000002,610000002763,
0,µm,Spine,Spine Part Length,2,2,1,100000002,610000002764,
0,µm,Spine,Spine Part Length,1,2,1,100000002,610000002765,
0,µm,Spine,Spine Part Length,1,1,1,100000002,610000002766,
0,µm,Spine,Spine Part Length,1,1,1,100000002,610000002767,
0,µm,Spine,Spine Part Length,0,1,1,100000002,610000002768,
0,µm,Spine,Spine Part Length,6,3,1,100000002,610000002771,
0,µm,Spine,Spine Part Length,6,4,1,100000002,610000002772,
0,µm,Spine,Spine Part Length,6,2,1,100000003,610000002775,
0,µm,Spine,Spine Part Length,6,2,1,100000003,610000002776,
0,µm,Spine,Spine Part Length,6,2,1,100000003,610000002777,
0,µm,Spine,Spine Part Length,0,1,1,100000003,610000002783,
