
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
5975.5,18573.1,1416.85,µm,Surface,Position,1,0,
5972.41,18593.7,1417.84,µm,Surface,Position,1,1,
5990.57,18590.2,1416.74,µm,Surface,Position,1,2,
6005.2,18555,1417.01,µm,Surface,Position,1,3,
