
Cumulative Volume Inside Img=1
 ==================== 
Distance to Surface,Cumulative Volume Inside,Unit,Collection,Image,Time,ID,
-2.1235,0.788788,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.9865,3.16403,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.8495,8.11669,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.7125,15.92,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.5755,27.6414,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.4385,44.5536,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.3015,67.2419,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.1645,98.6619,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.0275,138.33,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.8905,189.906,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.7535,255.135,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.6165,330.399,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.4795,418.881,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.3425,524.219,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.2055,640.801,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.0685,772.676,µm^3,Cumulative Volume Inside,Image 1,1,,
