
Spine Attachment Pt Branching Angle
 ==================== 
Spine Attachment Pt Branching Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
72.2873,°,Spine,4,2,1,100000003,610000002444,
82.9616,°,Spine,6,2,1,100000001,610000002447,
89.9855,°,Spine,5,2,1,100000003,610000002455,
87.5675,°,Spine,9,3,1,100000001,610000002459,
89.2346,°,Spine,0,1,1,100000000,610000002469,
80.2209,°,Spine,5,2,1,100000001,610000002476,
84.5873,°,Spine,3,2,1,100000002,610000002494,
82.8454,°,Spine,0,1,1,100000002,610000002496,
74.1491,°,Spine,6,2,1,100000001,610000002498,
83.5782,°,Spine,5,3,1,100000001,610000002505,
79.0926,°,Spine,8,4,1,100000001,610000002509,
90.4423,°,Spine,10,4,1,100000000,610000002538,
80.7287,°,Spine,5,4,1,100000002,610000002541,
77.1862,°,Spine,4,4,1,100000002,610000002543,
92.0358,°,Spine,3,2,1,100000002,610000002559,
80.0543,°,Spine,2,3,1,100000002,610000002563,
75.6254,°,Spine,6,2,1,100000001,610000002573,
89.3928,°,Spine,10,4,1,100000000,610000002575,
88.8066,°,Spine,2,1,1,100000002,610000002584,
53.0641,°,Spine,9,4,1,100000001,610000002598,
91.5979,°,Spine,8,2,1,100000001,610000002615,
82.0907,°,Spine,8,5,1,100000002,610000002628,
81.026,°,Spine,0,1,1,100000002,610000002630,
110.46,°,Spine,5,4,1,100000002,610000002667,
78.311,°,Spine,11,5,1,100000000,610000002714,
74.3372,°,Spine,10,4,1,100000000,610000002715,
87.3492,°,Spine,10,4,1,100000000,610000002716,
59.0904,°,Spine,8,4,1,100000000,610000002717,
72.1578,°,Spine,8,4,1,100000000,610000002718,
83.3705,°,Spine,8,4,1,100000000,610000002719,
81.7895,°,Spine,6,4,1,100000000,610000002720,
82.1665,°,Spine,6,4,1,100000000,610000002721,
83.1838,°,Spine,6,4,1,100000000,610000002722,
85.0814,°,Spine,6,2,1,100000000,610000002724,
39.7787,°,Spine,0,1,1,100000000,610000002725,
54.1156,°,Spine,0,1,1,100000000,610000002727,
61.9348,°,Spine,6,3,1,100000001,610000002733,
49.5247,°,Spine,9,3,1,100000001,610000002734,
76.1014,°,Spine,8,3,1,100000001,610000002735,
81.3412,°,Spine,7,3,1,100000001,610000002736,
85.9009,°,Spine,7,3,1,100000001,610000002737,
90.2865,°,Spine,6,2,1,100000001,610000002740,
68.2912,°,Spine,5,2,1,100000001,610000002741,
81.187,°,Spine,5,3,1,100000001,610000002742,
67.6444,°,Spine,7,4,1,100000002,610000002747,
75.4341,°,Spine,6,4,1,100000002,610000002748,
77.3265,°,Spine,6,4,1,100000002,610000002749,
90.7078,°,Spine,4,3,1,100000002,610000002750,
80.8892,°,Spine,4,4,1,100000002,610000002751,
98.7253,°,Spine,3,3,1,100000002,610000002753,
86.2878,°,Spine,2,2,1,100000002,610000002754,
44.6303,°,Spine,2,2,1,100000002,610000002755,
83.5234,°,Spine,0,1,1,100000002,610000002756,
68.2153,°,Spine,0,1,1,100000002,610000002757,
89.8433,°,Spine,5,3,1,100000002,610000002759,
81.9923,°,Spine,5,3,1,100000002,610000002760,
90.9357,°,Spine,5,4,1,100000002,610000002761,
71.9703,°,Spine,4,3,1,100000002,610000002762,
75.7657,°,Spine,3,3,1,100000002,610000002763,
100.455,°,Spine,2,2,1,100000002,610000002764,
75.5836,°,Spine,1,2,1,100000002,610000002765,
84.2122,°,Spine,1,1,1,100000002,610000002766,
85.3408,°,Spine,1,1,1,100000002,610000002767,
64.144,°,Spine,0,1,1,100000002,610000002768,
62.9939,°,Spine,6,4,1,100000002,610000002772,
63.283,°,Spine,6,2,1,100000003,610000002775,
84.7901,°,Spine,6,2,1,100000003,610000002776,
63.004,°,Spine,6,2,1,100000003,610000002777,
90.4157,°,Spine,0,1,1,100000003,610000002783,
