
Filament No. Segment Segments
 ==================== 
Filament No. Segment Segments,Unit,Category,Time,ID,
37,,Filament,1,100000000,
33,,Filament,1,100000001,
69,,Filament,1,100000002,
27,,Filament,1,100000003,
