
Spine Part Length Ground
 ==================== 
Spine Part Length Ground,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.299942,µm,Spine,Spine Part Length,4,2,1,100000003,610000002444,
0.252435,µm,Spine,Spine Part Length,6,2,1,100000001,610000002447,
0.440087,µm,Spine,Spine Part Length,0,1,1,100000000,610000002452,
0.170508,µm,Spine,Spine Part Length,5,2,1,100000003,610000002455,
0.247899,µm,Spine,Spine Part Length,9,3,1,100000001,610000002459,
0.355599,µm,Spine,Spine Part Length,0,1,1,100000002,610000002462,
0.269268,µm,Spine,Spine Part Length,0,1,1,100000001,610000002466,
0.121862,µm,Spine,Spine Part Length,0,1,1,100000000,610000002469,
0.265001,µm,Spine,Spine Part Length,0,1,1,100000002,610000002473,
0.15131,µm,Spine,Spine Part Length,5,2,1,100000001,610000002476,
0.257674,µm,Spine,Spine Part Length,0,1,1,100000002,610000002480,
0.494627,µm,Spine,Spine Part Length,6,3,1,100000002,610000002485,
0.242785,µm,Spine,Spine Part Length,0,1,1,100000002,610000002488,
0.241339,µm,Spine,Spine Part Length,0,1,1,100000000,610000002492,
0.213275,µm,Spine,Spine Part Length,3,2,1,100000002,610000002494,
0.190192,µm,Spine,Spine Part Length,0,1,1,100000002,610000002496,
0.186982,µm,Spine,Spine Part Length,6,2,1,100000001,610000002498,
0.439786,µm,Spine,Spine Part Length,6,4,1,100000002,610000002503,
0.171083,µm,Spine,Spine Part Length,5,3,1,100000001,610000002505,
0.212685,µm,Spine,Spine Part Length,8,4,1,100000001,610000002509,
0.141273,µm,Spine,Spine Part Length,3,2,1,100000002,610000002511,
0.332298,µm,Spine,Spine Part Length,0,1,1,100000001,610000002515,
0.366339,µm,Spine,Spine Part Length,0,1,1,100000002,610000002518,
0.292607,µm,Spine,Spine Part Length,0,1,1,100000000,610000002521,
0.217009,µm,Spine,Spine Part Length,0,1,1,100000003,610000002525,
0.166218,µm,Spine,Spine Part Length,5,3,1,100000000,610000002527,
0.224037,µm,Spine,Spine Part Length,0,1,1,100000001,610000002530,
0.286865,µm,Spine,Spine Part Length,0,1,1,100000001,610000002533,
0.343275,µm,Spine,Spine Part Length,0,1,1,100000002,610000002536,
0.188742,µm,Spine,Spine Part Length,10,4,1,100000000,610000002538,
0.330166,µm,Spine,Spine Part Length,5,4,1,100000002,610000002541,
0.194134,µm,Spine,Spine Part Length,4,4,1,100000002,610000002543,
0.320034,µm,Spine,Spine Part Length,0,1,1,100000000,610000002547,
0.320417,µm,Spine,Spine Part Length,0,1,1,100000002,610000002551,
0.475447,µm,Spine,Spine Part Length,6,3,1,100000002,610000002557,
0.188443,µm,Spine,Spine Part Length,3,2,1,100000002,610000002559,
0.30577,µm,Spine,Spine Part Length,0,1,1,100000000,610000002561,
0.277518,µm,Spine,Spine Part Length,2,3,1,100000002,610000002563,
0.222774,µm,Spine,Spine Part Length,4,3,1,100000002,610000002568,
0.232951,µm,Spine,Spine Part Length,6,4,1,100000002,610000002571,
0.0852961,µm,Spine,Spine Part Length,6,2,1,100000001,610000002573,
0.298656,µm,Spine,Spine Part Length,10,4,1,100000000,610000002575,
0.522333,µm,Spine,Spine Part Length,6,3,1,100000002,610000002580,
0.407359,µm,Spine,Spine Part Length,11,6,1,100000000,610000002582,
0.115805,µm,Spine,Spine Part Length,2,1,1,100000002,610000002584,
0.368882,µm,Spine,Spine Part Length,0,1,1,100000001,610000002586,
0.409355,µm,Spine,Spine Part Length,0,1,1,100000000,610000002588,
0.527269,µm,Spine,Spine Part Length,0,1,1,100000000,610000002590,
0.422077,µm,Spine,Spine Part Length,0,1,1,100000003,610000002592,
0.33775,µm,Spine,Spine Part Length,0,1,1,100000002,610000002595,
0.234965,µm,Spine,Spine Part Length,9,4,1,100000001,610000002598,
0.376155,µm,Spine,Spine Part Length,0,1,1,100000002,610000002601,
0.180947,µm,Spine,Spine Part Length,0,1,1,100000002,610000002606,
0.296369,µm,Spine,Spine Part Length,0,1,1,100000002,610000002609,
0.272772,µm,Spine,Spine Part Length,11,6,1,100000000,610000002612,
0.067342,µm,Spine,Spine Part Length,8,2,1,100000001,610000002615,
0,µm,Spine,Spine Part Length,0,1,1,100000003,610000002618,
0.344194,µm,Spine,Spine Part Length,0,1,1,100000001,610000002620,
0.280706,µm,Spine,Spine Part Length,0,1,1,100000000,610000002623,
0.355817,µm,Spine,Spine Part Length,0,1,1,100000000,610000002626,
0.335383,µm,Spine,Spine Part Length,8,5,1,100000002,610000002628,
0.231515,µm,Spine,Spine Part Length,0,1,1,100000002,610000002630,
0.318753,µm,Spine,Spine Part Length,0,1,1,100000002,610000002632,
0.47071,µm,Spine,Spine Part Length,0,1,1,100000001,610000002635,
0.275893,µm,Spine,Spine Part Length,0,1,1,100000002,610000002638,
0.147327,µm,Spine,Spine Part Length,4,3,1,100000002,610000002641,
0.186179,µm,Spine,Spine Part Length,3,1,1,100000000,610000002644,
0.236551,µm,Spine,Spine Part Length,0,1,1,100000002,610000002650,
0.45304,µm,Spine,Spine Part Length,0,1,1,100000002,610000002652,
0.319514,µm,Spine,Spine Part Length,0,1,1,100000002,610000002658,
0.192272,µm,Spine,Spine Part Length,0,1,1,100000002,610000002661,
0.142123,µm,Spine,Spine Part Length,5,4,1,100000002,610000002667,
0.393395,µm,Spine,Spine Part Length,0,1,1,100000002,610000002669,
0.23127,µm,Spine,Spine Part Length,6,3,1,100000002,610000002679,
0.303004,µm,Spine,Spine Part Length,6,4,1,100000002,610000002682,
0.274087,µm,Spine,Spine Part Length,11,6,1,100000000,610000002713,
0.345534,µm,Spine,Spine Part Length,11,5,1,100000000,610000002714,
0.185434,µm,Spine,Spine Part Length,10,4,1,100000000,610000002715,
0.144633,µm,Spine,Spine Part Length,10,4,1,100000000,610000002716,
0.441111,µm,Spine,Spine Part Length,8,4,1,100000000,610000002717,
0.220519,µm,Spine,Spine Part Length,8,4,1,100000000,610000002718,
0.233823,µm,Spine,Spine Part Length,8,4,1,100000000,610000002719,
0.220439,µm,Spine,Spine Part Length,6,4,1,100000000,610000002720,
0.286576,µm,Spine,Spine Part Length,6,4,1,100000000,610000002721,
0.248371,µm,Spine,Spine Part Length,6,4,1,100000000,610000002722,
0.146949,µm,Spine,Spine Part Length,5,3,1,100000000,610000002723,
0.14919,µm,Spine,Spine Part Length,6,2,1,100000000,610000002724,
0.273093,µm,Spine,Spine Part Length,0,1,1,100000000,610000002725,
0.295993,µm,Spine,Spine Part Length,0,1,1,100000000,610000002727,
0.328719,µm,Spine,Spine Part Length,6,3,1,100000001,610000002733,
0.281019,µm,Spine,Spine Part Length,9,3,1,100000001,610000002734,
0.251216,µm,Spine,Spine Part Length,8,3,1,100000001,610000002735,
0.201401,µm,Spine,Spine Part Length,7,3,1,100000001,610000002736,
0.165803,µm,Spine,Spine Part Length,7,3,1,100000001,610000002737,
0.305696,µm,Spine,Spine Part Length,6,2,1,100000001,610000002738,
0.262378,µm,Spine,Spine Part Length,6,2,1,100000001,610000002739,
0.283079,µm,Spine,Spine Part Length,6,2,1,100000001,610000002740,
0.28664,µm,Spine,Spine Part Length,5,2,1,100000001,610000002741,
0.323926,µm,Spine,Spine Part Length,5,3,1,100000001,610000002742,
0.409611,µm,Spine,Spine Part Length,0,1,1,100000001,610000002743,
0.329431,µm,Spine,Spine Part Length,3,2,1,100000002,610000002745,
0.317775,µm,Spine,Spine Part Length,3,2,1,100000002,610000002746,
0.246439,µm,Spine,Spine Part Length,7,4,1,100000002,610000002747,
0.234019,µm,Spine,Spine Part Length,6,4,1,100000002,610000002748,
0.272015,µm,Spine,Spine Part Length,6,4,1,100000002,610000002749,
0.288311,µm,Spine,Spine Part Length,4,3,1,100000002,610000002750,
0.201043,µm,Spine,Spine Part Length,4,4,1,100000002,610000002751,
0.346703,µm,Spine,Spine Part Length,3,2,1,100000002,610000002752,
0.137286,µm,Spine,Spine Part Length,3,3,1,100000002,610000002753,
0.317117,µm,Spine,Spine Part Length,2,2,1,100000002,610000002754,
0.265574,µm,Spine,Spine Part Length,2,2,1,100000002,610000002755,
0.206327,µm,Spine,Spine Part Length,0,1,1,100000002,610000002756,
0.13651,µm,Spine,Spine Part Length,0,1,1,100000002,610000002757,
0.266076,µm,Spine,Spine Part Length,5,3,1,100000002,610000002759,
0.282905,µm,Spine,Spine Part Length,5,3,1,100000002,610000002760,
0.245343,µm,Spine,Spine Part Length,5,4,1,100000002,610000002761,
0.24722,µm,Spine,Spine Part Length,4,3,1,100000002,610000002762,
0.323503,µm,Spine,Spine Part Length,3,3,1,100000002,610000002763,
0.213322,µm,Spine,Spine Part Length,2,2,1,100000002,610000002764,
0.195069,µm,Spine,Spine Part Length,1,2,1,100000002,610000002765,
0.263565,µm,Spine,Spine Part Length,1,1,1,100000002,610000002766,
0.204777,µm,Spine,Spine Part Length,1,1,1,100000002,610000002767,
0.347882,µm,Spine,Spine Part Length,0,1,1,100000002,610000002768,
0.245186,µm,Spine,Spine Part Length,6,3,1,100000002,610000002771,
0.243642,µm,Spine,Spine Part Length,6,4,1,100000002,610000002772,
0.218655,µm,Spine,Spine Part Length,6,2,1,100000003,610000002775,
0.173563,µm,Spine,Spine Part Length,6,2,1,100000003,610000002776,
0.207719,µm,Spine,Spine Part Length,6,2,1,100000003,610000002777,
0.35895,µm,Spine,Spine Part Length,0,1,1,100000003,610000002783,
