
Spine Part Mean Diameter Head
 ==================== 
Spine Part Mean Diameter Head,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.1625,µm,Spine,Spine Part Mean Diameter,4,2,1,100000003,610000002444,
0.184144,µm,Spine,Spine Part Mean Diameter,6,2,1,100000001,610000002447,
0.789297,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002452,
0.2156,µm,Spine,Spine Part Mean Diameter,5,2,1,100000003,610000002455,
0.1625,µm,Spine,Spine Part Mean Diameter,9,3,1,100000001,610000002459,
0.696209,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000002462,
0.544094,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000002466,
0.210937,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002469,
0.65503,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000002473,
0.294649,µm,Spine,Spine Part Mean Diameter,5,2,1,100000001,610000002476,
0.265445,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000002480,
0.276578,µm,Spine,Spine Part Mean Diameter,6,3,1,100000002,610000002485,
0.263462,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000002488,
0.544796,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002492,
0.233163,µm,Spine,Spine Part Mean Diameter,3,2,1,100000002,610000002494,
0.192868,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000002496,
0.210787,µm,Spine,Spine Part Mean Diameter,6,2,1,100000001,610000002498,
0.365625,µm,Spine,Spine Part Mean Diameter,6,4,1,100000002,610000002503,
0.32668,µm,Spine,Spine Part Mean Diameter,5,3,1,100000001,610000002505,
0.211348,µm,Spine,Spine Part Mean Diameter,8,4,1,100000001,610000002509,
0.1625,µm,Spine,Spine Part Mean Diameter,3,2,1,100000002,610000002511,
0.920428,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000002515,
1.05452,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000002518,
0.49754,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002521,
0.647163,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000002525,
0.230315,µm,Spine,Spine Part Mean Diameter,5,3,1,100000000,610000002527,
0.998196,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000002530,
0.406521,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000002533,
0.38473,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000002536,
0.24707,µm,Spine,Spine Part Mean Diameter,10,4,1,100000000,610000002538,
0.194018,µm,Spine,Spine Part Mean Diameter,5,4,1,100000002,610000002541,
0.1625,µm,Spine,Spine Part Mean Diameter,4,4,1,100000002,610000002543,
0.549418,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002547,
0.558128,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000002551,
0.253079,µm,Spine,Spine Part Mean Diameter,6,3,1,100000002,610000002557,
0.167578,µm,Spine,Spine Part Mean Diameter,3,2,1,100000002,610000002559,
0.228234,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002561,
0.239234,µm,Spine,Spine Part Mean Diameter,2,3,1,100000002,610000002563,
0.23702,µm,Spine,Spine Part Mean Diameter,4,3,1,100000002,610000002568,
0.208152,µm,Spine,Spine Part Mean Diameter,6,4,1,100000002,610000002571,
0.222478,µm,Spine,Spine Part Mean Diameter,6,2,1,100000001,610000002573,
0.172656,µm,Spine,Spine Part Mean Diameter,10,4,1,100000000,610000002575,
0.308194,µm,Spine,Spine Part Mean Diameter,6,3,1,100000002,610000002580,
0.20494,µm,Spine,Spine Part Mean Diameter,11,6,1,100000000,610000002582,
0.285147,µm,Spine,Spine Part Mean Diameter,2,1,1,100000002,610000002584,
0.37569,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000002586,
0.544796,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002588,
0.621204,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002590,
0.588754,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000002592,
1.03987,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000002595,
0.212905,µm,Spine,Spine Part Mean Diameter,9,4,1,100000001,610000002598,
0.445363,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000002601,
0.611061,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000002606,
0.32605,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000002609,
0.1625,µm,Spine,Spine Part Mean Diameter,11,6,1,100000000,610000002612,
0.584858,µm,Spine,Spine Part Mean Diameter,8,2,1,100000001,610000002615,
0.534493,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000002618,
0.371445,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000002620,
0.29342,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002623,
0.42697,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002626,
0.165353,µm,Spine,Spine Part Mean Diameter,8,5,1,100000002,610000002628,
0.251416,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000002630,
0.228516,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000002632,
0.596986,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000002635,
0.743509,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000002638,
0.261493,µm,Spine,Spine Part Mean Diameter,4,3,1,100000002,610000002641,
0.218738,µm,Spine,Spine Part Mean Diameter,3,1,1,100000000,610000002644,
0.630672,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000002650,
0.497431,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000002652,
0.605186,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000002658,
0.478774,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000002661,
0.18916,µm,Spine,Spine Part Mean Diameter,5,4,1,100000002,610000002667,
0.473969,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000002669,
0.282451,µm,Spine,Spine Part Mean Diameter,6,3,1,100000002,610000002679,
0.297224,µm,Spine,Spine Part Mean Diameter,6,4,1,100000002,610000002682,
0.257226,µm,Spine,Spine Part Mean Diameter,11,6,1,100000000,610000002713,
0.1625,µm,Spine,Spine Part Mean Diameter,11,5,1,100000000,610000002714,
0.284991,µm,Spine,Spine Part Mean Diameter,10,4,1,100000000,610000002715,
0.254596,µm,Spine,Spine Part Mean Diameter,10,4,1,100000000,610000002716,
0.298332,µm,Spine,Spine Part Mean Diameter,8,4,1,100000000,610000002717,
0.306412,µm,Spine,Spine Part Mean Diameter,8,4,1,100000000,610000002718,
0.301851,µm,Spine,Spine Part Mean Diameter,8,4,1,100000000,610000002719,
0.305908,µm,Spine,Spine Part Mean Diameter,6,4,1,100000000,610000002720,
