
Spine Part Length Head
 ==================== 
Spine Part Length Head,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.159867,µm,Spine,Spine Part Length,0,1,1,100000000,610000002725,
0.140973,µm,Spine,Spine Part Length,0,1,1,100000000,610000002727,
0.232515,µm,Spine,Spine Part Length,6,3,1,100000001,610000002733,
0.121039,µm,Spine,Spine Part Length,9,3,1,100000001,610000002734,
0.147523,µm,Spine,Spine Part Length,8,3,1,100000001,610000002735,
0.107279,µm,Spine,Spine Part Length,7,3,1,100000001,610000002736,
0.100455,µm,Spine,Spine Part Length,7,3,1,100000001,610000002737,
0.13224,µm,Spine,Spine Part Length,6,2,1,100000001,610000002738,
0.158459,µm,Spine,Spine Part Length,6,2,1,100000001,610000002739,
0.249463,µm,Spine,Spine Part Length,6,2,1,100000001,610000002740,
0.215005,µm,Spine,Spine Part Length,5,2,1,100000001,610000002741,
0.247703,µm,Spine,Spine Part Length,5,3,1,100000001,610000002742,
0.08125,µm,Spine,Spine Part Length,0,1,1,100000001,610000002743,
0.140685,µm,Spine,Spine Part Length,3,2,1,100000002,610000002745,
0.085896,µm,Spine,Spine Part Length,3,2,1,100000002,610000002746,
0.155335,µm,Spine,Spine Part Length,7,4,1,100000002,610000002747,
0.137174,µm,Spine,Spine Part Length,6,4,1,100000002,610000002748,
0.159326,µm,Spine,Spine Part Length,6,4,1,100000002,610000002749,
0.188124,µm,Spine,Spine Part Length,4,3,1,100000002,610000002750,
0.126166,µm,Spine,Spine Part Length,4,4,1,100000002,610000002751,
0.136475,µm,Spine,Spine Part Length,3,2,1,100000002,610000002752,
0.121875,µm,Spine,Spine Part Length,3,3,1,100000002,610000002753,
0.0993103,µm,Spine,Spine Part Length,2,2,1,100000002,610000002754,
0.08125,µm,Spine,Spine Part Length,2,2,1,100000002,610000002755,
0.109757,µm,Spine,Spine Part Length,0,1,1,100000002,610000002756,
0.08125,µm,Spine,Spine Part Length,0,1,1,100000002,610000002757,
0.152344,µm,Spine,Spine Part Length,5,3,1,100000002,610000002759,
0.0997566,µm,Spine,Spine Part Length,5,3,1,100000002,610000002760,
