
Spine Center Number of Voxel Ch=4 Img=1
 ==================== 
Spine Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
2,,Spine,4,6,Image 1,4,1,100000002,610000002749,
2,,Spine,4,4,Image 1,3,1,100000002,610000002750,
2,,Spine,4,4,Image 1,4,1,100000002,610000002751,
2,,Spine,4,3,Image 1,2,1,100000002,610000002752,
2,,Spine,4,3,Image 1,3,1,100000002,610000002753,
2,,Spine,4,2,Image 1,2,1,100000002,610000002754,
2,,Spine,4,2,Image 1,2,1,100000002,610000002755,
2,,Spine,4,0,Image 1,1,1,100000002,610000002756,
2,,Spine,4,0,Image 1,1,1,100000002,610000002757,
2,,Spine,4,5,Image 1,3,1,100000002,610000002759,
2,,Spine,4,5,Image 1,3,1,100000002,610000002760,
2,,Spine,4,5,Image 1,4,1,100000002,610000002761,
2,,Spine,4,4,Image 1,3,1,100000002,610000002762,
2,,Spine,4,3,Image 1,3,1,100000002,610000002763,
2,,Spine,4,2,Image 1,2,1,100000002,610000002764,
2,,Spine,4,1,Image 1,2,1,100000002,610000002765,
2,,Spine,4,1,Image 1,1,1,100000002,610000002766,
2,,Spine,4,1,Image 1,1,1,100000002,610000002767,
2,,Spine,4,0,Image 1,1,1,100000002,610000002768,
2,,Spine,4,6,Image 1,3,1,100000002,610000002771,
2,,Spine,4,6,Image 1,4,1,100000002,610000002772,
2,,Spine,4,6,Image 1,2,1,100000003,610000002775,
2,,Spine,4,6,Image 1,2,1,100000003,610000002776,
2,,Spine,4,6,Image 1,2,1,100000003,610000002777,
2,,Spine,4,0,Image 1,1,1,100000003,610000002783,
