
Soma Intensity StdDev Ch=3 Img=1
 ==================== 
Soma Intensity StdDev,Unit,Category,Channel,Image,Time,FilamentID,ID,
21.6774,,Soma,3,Image 1,1,100000000,800000000,
25.3558,,Soma,3,Image 1,1,100000001,800000001,
