
Segment Position Z
 ==================== 
Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1416.86,µm,Segment,Segment Position,13,5,1,100000001,510000000034,
1416.81,µm,Segment,Segment Position,11,4,1,100000001,510000000078,
1417.69,µm,Segment,Segment Position,10,4,1,100000001,510000000080,
1417.88,µm,Segment,Segment Position,9,4,1,100000001,510000000083,
1418.07,µm,Segment,Segment Position,8,4,1,100000001,510000000086,
1416.46,µm,Segment,Segment Position,7,4,1,100000001,510000000158,
1415.3,µm,Segment,Segment Position,6,3,1,100000001,510000000183,
1415.28,µm,Segment,Segment Position,5,2,1,100000001,510000000191,
1415.35,µm,Segment,Segment Position,4,2,1,100000001,510000000195,
1415.49,µm,Segment,Segment Position,3,1,1,100000001,510000000202,
1415.59,µm,Segment,Segment Position,2,1,1,100000001,510000000204,
1415.6,µm,Segment,Segment Position,1,1,1,100000001,510000000208,
1415.66,µm,Segment,Segment Position,0,1,1,100000001,510000000235,
1418.25,µm,Segment,Segment Position,11,5,1,100000001,510000000265,
1416.11,µm,Segment,Segment Position,12,5,1,100000001,510000000287,
1415.6,µm,Segment,Segment Position,13,4,1,100000001,510000000301,
1418.94,µm,Segment,Segment Position,10,6,1,100000001,510000000316,
1418.46,µm,Segment,Segment Position,9,5,1,100000001,510000000322,
1418.56,µm,Segment,Segment Position,10,5,1,100000001,510000000339,
1418.36,µm,Segment,Segment Position,9,6,1,100000001,510000000342,
1417.33,µm,Segment,Segment Position,10,5,1,100000001,510000000348,
1417.94,µm,Segment,Segment Position,9,5,1,100000001,510000000350,
1417.57,µm,Segment,Segment Position,6,3,1,100000001,510000000387,
1417.4,µm,Segment,Segment Position,5,2,1,100000001,510000000403,
1417.56,µm,Segment,Segment Position,4,2,1,100000001,510000000408,
1417.69,µm,Segment,Segment Position,3,2,1,100000001,510000000466,
1417.27,µm,Segment,Segment Position,2,1,1,100000001,510000000488,
1417.12,µm,Segment,Segment Position,1,1,1,100000001,510000000510,
1417.02,µm,Segment,Segment Position,0,1,1,100000001,510000000532,
1416.89,µm,Segment,Segment Position,6,2,1,100000001,510000000549,
1418.02,µm,Segment,Segment Position,5,3,1,100000001,510000000569,
1417.52,µm,Segment,Segment Position,4,3,1,100000001,510000000575,
1417.24,µm,Segment,Segment Position,2,1,1,100000000,510000000618,
1417.03,µm,Segment,Segment Position,1,1,1,100000000,510000000641,
1417.06,µm,Segment,Segment Position,0,1,1,100000000,510000000659,
1417.07,µm,Segment,Segment Position,2,2,1,100000000,510000000691,
1416.65,µm,Segment,Segment Position,1,2,1,100000000,510000000702,
1417.38,µm,Segment,Segment Position,6,3,1,100000001,510000000711,
1417.09,µm,Segment,Segment Position,5,2,1,100000001,510000000757,
