
Spine Terminal Pt Position Y
 ==================== 
Spine Terminal Pt Position Y,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
18718.1,µm,Spine,Spine Terminal Pt Position,,,1,,610000001812,
18686.6,µm,Spine,Spine Terminal Pt Position,4,1,1,100000000,610000001830,
18682.9,µm,Spine,Spine Terminal Pt Position,,,1,,610000001839,
18705.8,µm,Spine,Spine Terminal Pt Position,13,4,1,100000001,610000001847,
18723.2,µm,Spine,Spine Terminal Pt Position,4,2,1,100000001,610000001849,
18686.4,µm,Spine,Spine Terminal Pt Position,2,1,1,100000000,610000001856,
18682.9,µm,Spine,Spine Terminal Pt Position,,,1,,610000001858,
18713.6,µm,Spine,Spine Terminal Pt Position,7,3,1,100000001,610000001864,
18720.2,µm,Spine,Spine Terminal Pt Position,3,2,1,100000001,610000001876,
18685.3,µm,Spine,Spine Terminal Pt Position,0,1,1,100000000,610000001879,
18718.3,µm,Spine,Spine Terminal Pt Position,1,2,1,100000001,610000001881,
18705,µm,Spine,Spine Terminal Pt Position,13,4,1,100000001,610000001883,
18716.2,µm,Spine,Spine Terminal Pt Position,5,2,1,100000001,610000001909,
18687.6,µm,Spine,Spine Terminal Pt Position,3,2,1,100000000,610000001914,
18716.6,µm,Spine,Spine Terminal Pt Position,3,1,1,100000001,610000001919,
18716.2,µm,Spine,Spine Terminal Pt Position,5,2,1,100000001,610000001943,
18717.5,µm,Spine,Spine Terminal Pt Position,4,1,1,100000001,610000001950,
18717.3,µm,Spine,Spine Terminal Pt Position,5,3,1,100000001,610000001961,
18705.5,µm,Spine,Spine Terminal Pt Position,13,4,1,100000001,610000001966,
18706,µm,Spine,Spine Terminal Pt Position,12,4,1,100000001,610000001968,
18717.8,µm,Spine,Spine Terminal Pt Position,4,1,1,100000001,610000001972,
18718.2,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000001974,
18717.4,µm,Spine,Spine Terminal Pt Position,3,1,1,100000001,610000001978,
18717.5,µm,Spine,Spine Terminal Pt Position,4,1,1,100000001,610000001986,
18716.5,µm,Spine,Spine Terminal Pt Position,4,2,1,100000001,610000001991,
18716.2,µm,Spine,Spine Terminal Pt Position,5,2,1,100000001,610000001993,
18716.7,µm,Spine,Spine Terminal Pt Position,5,2,1,100000001,610000002006,
18687.5,µm,Spine,Spine Terminal Pt Position,3,2,1,100000000,610000002011,
18717.8,µm,Spine,Spine Terminal Pt Position,1,2,1,100000001,610000002022,
18717.6,µm,Spine,Spine Terminal Pt Position,4,1,1,100000001,610000002026,
18716.6,µm,Spine,Spine Terminal Pt Position,4,2,1,100000001,610000002030,
18716.5,µm,Spine,Spine Terminal Pt Position,5,2,1,100000001,610000002033,
18716.4,µm,Spine,Spine Terminal Pt Position,5,2,1,100000001,610000002036,
18717.6,µm,Spine,Spine Terminal Pt Position,4,1,1,100000001,610000002047,
18715.8,µm,Spine,Spine Terminal Pt Position,6,2,1,100000001,610000002053,
18686.5,µm,Spine,Spine Terminal Pt Position,2,1,1,,610000002134,
18717.1,µm,Spine,Spine Terminal Pt Position,2,2,1,,610000002134,
18685.6,µm,Spine,Spine Terminal Pt Position,1,2,1,,610000002135,
18717.2,µm,Spine,Spine Terminal Pt Position,5,3,1,,610000002135,
18684.6,µm,Spine,Spine Terminal Pt Position,1,2,1,,610000002136,
18717.1,µm,Spine,Spine Terminal Pt Position,5,3,1,,610000002136,
18685.6,µm,Spine,Spine Terminal Pt Position,2,1,1,,610000002137,
18716.6,µm,Spine,Spine Terminal Pt Position,5,2,1,,610000002137,
18686.4,µm,Spine,Spine Terminal Pt Position,4,1,1,,610000002138,
18713.8,µm,Spine,Spine Terminal Pt Position,7,3,1,,610000002138,
18684.9,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000002139,
18714.9,µm,Spine,Spine Terminal Pt Position,7,3,1,,610000002139,
18683.6,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000002140,
18714.9,µm,Spine,Spine Terminal Pt Position,7,2,1,,610000002140,
18715.5,µm,Spine,Spine Terminal Pt Position,6,2,1,,610000002141,
18715.3,µm,Spine,Spine Terminal Pt Position,6,3,1,,610000002142,
18709.4,µm,Spine,Spine Terminal Pt Position,9,5,1,,610000002143,
18708.9,µm,Spine,Spine Terminal Pt Position,10,5,1,,610000002144,
18708.6,µm,Spine,Spine Terminal Pt Position,11,4,1,,610000002145,
18704.7,µm,Spine,Spine Terminal Pt Position,12,5,1,,610000002146,
18705.6,µm,Spine,Spine Terminal Pt Position,13,5,1,,610000002147,
18721.1,µm,Spine,Spine Terminal Pt Position,2,1,1,,610000002148,
18720.4,µm,Spine,Spine Terminal Pt Position,3,2,1,,610000002149,
18720.4,µm,Spine,Spine Terminal Pt Position,3,2,1,,610000002150,
18724.2,µm,Spine,Spine Terminal Pt Position,6,2,1,,610000002151,
18715.8,µm,Spine,Spine Terminal Pt Position,1,2,1,,610000002152,
18714,µm,Spine,Spine Terminal Pt Position,3,2,1,,610000002153,
18715.5,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000002154,
