
Soma Center of Image Mass Y
 ==================== 
Soma Center of Image Mass Y,Unit,Category,Channel,Collection,Image,Time,FilamentID,ID,
18684,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000000,800000000,
18684.1,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000000,800000000,
18684.1,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000000,800000000,
18683.8,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000000,800000000,
18683.8,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000000,800000000,
18718.3,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000001,800000001,
18718.2,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000001,800000001,
18718.2,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000001,800000001,
18718.5,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000001,800000001,
18718.5,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000001,800000001,
