
Segment Orientation Angle
 ==================== 
Segment Orientation Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
-135.791,°,Segment,13,5,1,100000001,510000000034,
-81.9281,°,Segment,11,4,1,100000001,510000000078,
-49.2439,°,Segment,10,4,1,100000001,510000000080,
-54.4517,°,Segment,9,4,1,100000001,510000000083,
-49.9642,°,Segment,8,4,1,100000001,510000000086,
-101.978,°,Segment,7,4,1,100000001,510000000158,
-71.7349,°,Segment,6,3,1,100000001,510000000183,
-134.525,°,Segment,5,2,1,100000001,510000000191,
-153.435,°,Segment,4,2,1,100000001,510000000195,
-172.1,°,Segment,3,1,1,100000001,510000000202,
-165.562,°,Segment,2,1,1,100000001,510000000204,
-122.897,°,Segment,1,1,1,100000001,510000000208,
-157.927,°,Segment,0,1,1,100000001,510000000235,
-95.3875,°,Segment,11,5,1,100000001,510000000265,
-64.8969,°,Segment,12,5,1,100000001,510000000287,
-152.438,°,Segment,13,4,1,100000001,510000000301,
64.1706,°,Segment,10,6,1,100000001,510000000316,
-160.121,°,Segment,9,5,1,100000001,510000000322,
-145.045,°,Segment,10,5,1,100000001,510000000339,
73.4228,°,Segment,9,6,1,100000001,510000000342,
-140.336,°,Segment,10,5,1,100000001,510000000348,
-135.077,°,Segment,9,5,1,100000001,510000000350,
144.4,°,Segment,6,3,1,100000001,510000000387,
146.934,°,Segment,5,2,1,100000001,510000000403,
142.217,°,Segment,4,2,1,100000001,510000000408,
163.906,°,Segment,3,2,1,100000001,510000000466,
160.441,°,Segment,2,1,1,100000001,510000000488,
142.199,°,Segment,1,1,1,100000001,510000000510,
154.916,°,Segment,0,1,1,100000001,510000000532,
130.135,°,Segment,6,2,1,100000001,510000000549,
94.0364,°,Segment,5,3,1,100000001,510000000569,
28.0207,°,Segment,4,3,1,100000001,510000000575,
28.5136,°,Segment,2,1,1,100000000,510000000618,
5.2633,°,Segment,1,1,1,100000000,510000000641,
53.4376,°,Segment,0,1,1,100000000,510000000659,
-101.537,°,Segment,2,2,1,100000000,510000000691,
102.099,°,Segment,1,2,1,100000000,510000000702,
-50.3444,°,Segment,6,3,1,100000001,510000000711,
44.1417,°,Segment,5,2,1,100000001,510000000757,
-2.61303,°,Segment,4,2,1,100000001,510000000776,
-37.9475,°,Segment,3,2,1,100000001,510000000831,
-67.148,°,Segment,1,1,1,100000001,510000000847,
-59.5214,°,Segment,0,1,1,100000001,510000000852,
-129.919,°,Segment,6,2,1,100000001,510000000891,
116.973,°,Segment,5,3,1,100000001,510000000893,
98.6659,°,Segment,4,3,1,100000001,510000000897,
-128.025,°,Segment,4,3,1,100000001,510000000900,
88.896,°,Segment,4,2,1,100000001,510000000923,
94.072,°,Segment,3,1,1,100000001,510000000940,
128.365,°,Segment,4,1,1,100000001,510000000963,
178.671,°,Segment,4,1,1,100000000,510000000989,
-132.031,°,Segment,3,1,1,100000000,510000000995,
151.419,°,Segment,2,1,1,100000000,510000001022,
136.928,°,Segment,1,1,1,100000000,510000001036,
175.158,°,Segment,0,1,1,100000000,510000001060,
-162.232,°,Segment,7,3,1,100000001,510000001117,
-150.039,°,Segment,6,2,1,100000001,510000001141,
52.9326,°,Segment,1,1,1,100000001,510000001182,
83.1161,°,Segment,0,1,1,100000001,510000001208,
-86.9171,°,Segment,4,2,1,100000000,510000001237,
-164.918,°,Segment,3,2,1,100000001,510000001249,
-166.477,°,Segment,2,2,1,100000001,510000001251,
83.0526,°,Segment,3,2,1,100000000,510000001262,
140.782,°,Segment,1,2,1,100000000,510000001288,
177.162,°,Segment,7,2,1,100000001,510000001305,
115.589,°,Segment,3,3,1,100000001,510000001310,
-107,°,Segment,3,1,1,100000001,510000001312,
-56.1438,°,Segment,7,3,1,100000001,510000001316,
20.8473,°,Segment,1,2,1,100000001,510000001324,
-62.4232,°,Segment,1,1,1,100000001,510000001338,
-76.3544,°,Segment,0,1,1,100000001,510000001366,
140.711,°,Segment,1,2,1,100000001,510000001399,
-104.036,°,Segment,2,2,1,100000000,510000001406,
28.6359,°,Segment,0,1,1,100000000,510000001418,
23.7948,°,Segment,2,1,1,100000001,510000001427,
18.3049,°,Segment,0,1,1,100000001,510000001449,
65.9426,°,Segment,2,2,1,100000001,510000001452,
96.8122,°,Segment,2,2,1,100000001,510000001461,
-152.126,°,Segment,0,1,1,100000000,510000001479,
29.1676,°,Segment,1,2,1,100000001,510000001488,
-68.6103,°,Segment,1,2,1,100000001,510000001499,
170.941,°,Segment,5,3,1,100000001,510000001505,
69.1863,°,Segment,2,3,1,100000001,510000001508,
121.186,°,Segment,1,2,1,100000001,510000001515,
145.866,°,Segment,4,1,1,100000001,510000001526,
-52.6082,°,Segment,1,2,1,100000001,510000001531,
-22.3748,°,Segment,2,2,1,100000001,510000001548,
0,°,Segment,0,1,1,100000000,510000001560,
89.2717,°,Segment,2,2,1,100000001,510000001563,
123.083,°,Segment,1,2,1,100000001,510000001566,
-98.2971,°,Segment,3,2,1,100000001,510000001570,
-127.954,°,Segment,0,1,1,100000001,510000001598,
-123.767,°,Segment,12,4,1,100000001,510000001661,
-154.537,°,Segment,8,5,1,100000001,510000001662,
-35.0137,°,Segment,2,1,1,100000001,510000001667,
38.6598,°,Segment,1,1,1,100000001,510000001668,
