
Soma Distance to Image Border XYZ Img=1
 ==================== 
Soma Distance to Image Border XYZ,Unit,Category,Image,Time,FilamentID,ID,
0.737793,µm,Soma,Image 1,1,100000000,800000000,
0.424683,µm,Soma,Image 1,1,100000001,800000001,
