
Soma Center of Image Mass Ch=1 Img=1
 ==================== 
Soma Center of Image Mass X,Soma Center of Image Mass Y,Soma Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,FilamentID,ID,
5981.1,18684,1417.51,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000000,800000000,
5987.15,18718.3,1416.69,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000001,800000001,
