
Intensity Sum of Square Ch=2 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
2.3556e+08,,Surface,2,Image 1,1,0,
3.28304e+08,,Surface,2,Image 1,1,1,
2.82079e+07,,Surface,2,Image 1,1,2,
6.10128e+08,,Surface,2,Image 1,1,3,
1.7664e+06,,Surface,2,Image 1,1,4,
