
Filament No. Segment Terminal Pts
 ==================== 
Filament No. Segment Terminal Pts,Unit,Category,Time,ID,
100,,Filament,1,100000000,
85,,Filament,1,100000001,
23,,Filament,1,100000002,
87,,Filament,1,100000003,
9,,Filament,1,100000004,
