
Spine Neck Mean Diameter
 ==================== 
Spine Neck Mean Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.416667,µm,Spine,3,2,1,100000002,610000008330,
0.638258,µm,Spine,6,3,1,100000001,610000008342,
0.561296,µm,Spine,13,5,1,100000001,610000008350,
0.467011,µm,Spine,13,5,1,100000001,610000008354,
0.416667,µm,Spine,5,5,1,100000001,610000008360,
0.461754,µm,Spine,3,1,1,100000000,610000008367,
0.515181,µm,Spine,6,4,1,100000001,610000008370,
0.82743,µm,Spine,2,1,1,100000003,610000008372,
0.670584,µm,Spine,0,1,1,100000003,610000008380,
0.747449,µm,Spine,5,4,1,100000000,610000008387,
0.803785,µm,Spine,0,1,1,100000000,610000008393,
0.835437,µm,Spine,1,1,1,100000000,610000008401,
0.909484,µm,Spine,0,1,1,100000003,610000008403,
1.04706,µm,Spine,14,4,1,100000003,610000008405,
0.83587,µm,Spine,7,2,1,100000000,610000008409,
0.54148,µm,Spine,6,4,1,100000001,610000008411,
0.924491,µm,Spine,7,2,1,100000000,610000008414,
0.82839,µm,Spine,9,5,1,100000000,610000008416,
1.0081,µm,Spine,2,1,1,100000000,610000008420,
0.664016,µm,Spine,2,1,1,100000002,610000008422,
1.15171,µm,Spine,12,3,1,100000003,610000008426,
0.603283,µm,Spine,0,1,1,100000003,610000008431,
0.883336,µm,Spine,0,1,1,100000000,610000008436,
0.573053,µm,Spine,0,1,1,100000003,610000008441,
0,µm,Spine,0,1,1,100000002,610000008444,
0.904948,µm,Spine,0,1,1,100000000,610000008448,
0.971097,µm,Spine,3,4,1,100000001,610000008450,
0.632555,µm,Spine,2,2,1,100000004,610000008454,
0.703125,µm,Spine,13,1,1,100000003,610000008456,
0.630554,µm,Spine,0,1,1,100000003,610000008460,
1.0498,µm,Spine,1,1,1,100000003,610000008464,
0.783071,µm,Spine,4,5,1,100000001,610000008466,
1.18079,µm,Spine,0,1,1,100000003,610000008474,
0.931074,µm,Spine,2,2,1,100000004,610000008476,
1.0491,µm,Spine,0,1,1,100000001,610000008479,
0,µm,Spine,0,1,1,100000003,610000008481,
0.681875,µm,Spine,11,3,1,100000003,610000008483,
0.817203,µm,Spine,0,1,1,100000003,610000008487,
0,µm,Spine,0,1,1,100000002,610000008491,
0,µm,Spine,0,1,1,100000000,610000008494,
0.562489,µm,Spine,2,3,1,100000001,610000008500,
1.93756,µm,Spine,3,1,1,100000003,610000008505,
0.868738,µm,Spine,0,1,1,100000000,610000008508,
0.902235,µm,Spine,8,4,1,100000000,610000008510,
1.05674,µm,Spine,0,1,1,100000003,610000008515,
0.833333,µm,Spine,2,3,1,100000001,610000008518,
0.70368,µm,Spine,0,1,1,100000003,610000008522,
0.701409,µm,Spine,11,2,1,100000003,610000008524,
0.96458,µm,Spine,0,1,1,100000000,610000008529,
0.956788,µm,Spine,3,2,1,100000004,610000008531,
0.986179,µm,Spine,6,3,1,100000000,610000008535,
0.625,µm,Spine,2,1,1,100000001,610000008538,
0.772931,µm,Spine,4,1,1,100000000,610000008540,
0.724007,µm,Spine,3,1,1,100000001,610000008542,
1.19223,µm,Spine,0,1,1,100000000,610000008544,
0.79592,µm,Spine,5,4,1,100000000,610000008547,
0.947736,µm,Spine,4,1,1,100000000,610000008551,
0.772622,µm,Spine,3,2,1,100000000,610000008557,
0,µm,Spine,2,2,1,100000004,610000008560,
0.702208,µm,Spine,2,2,1,100000001,610000008565,
0.554252,µm,Spine,0,1,1,100000003,610000008568,
1.60707,µm,Spine,0,1,1,100000000,610000008576,
1.26487,µm,Spine,0,1,1,100000001,610000008578,
0,µm,Spine,0,1,1,100000000,610000008583,
1.35344,µm,Spine,4,1,1,100000003,610000008585,
1.04167,µm,Spine,1,1,1,100000002,610000008589,
0,µm,Spine,0,1,1,100000000,610000008595,
0,µm,Spine,2,2,1,100000004,610000008599,
0.801421,µm,Spine,5,1,1,100000000,610000008601,
0.841506,µm,Spine,2,2,1,100000001,610000008608,
0,µm,Spine,0,1,1,100000000,610000008613,
0,µm,Spine,0,1,1,100000000,610000008620,
0,µm,Spine,0,1,1,100000000,610000008626,
