
Soma Intensity StdDev Ch=2 Img=1
 ==================== 
Soma Intensity StdDev,Unit,Category,Channel,Image,Time,FilamentID,ID,
2.49628,,Soma,2,Image 1,1,100000000,800000000,
2.67064,,Soma,2,Image 1,1,100000001,800000001,
4.31126,,Soma,2,Image 1,1,100000002,800000002,
5.45859,,Soma,2,Image 1,1,100000003,800000003,
1.00546,,Soma,2,Image 1,1,100000004,800000004,
