
Soma Distance from Origin
 ==================== 
Soma Distance from Origin,Unit,Category,Collection,Time,FilamentID,ID,
22299.4,µm,Soma,Soma Distance from Origin,1,100000000,800000000,
22268.8,µm,Soma,Soma Distance from Origin,1,100000001,800000001,
22280.8,µm,Soma,Soma Distance from Origin,1,100000002,800000002,
22316.7,µm,Soma,Soma Distance from Origin,1,100000003,800000003,
22364.8,µm,Soma,Soma Distance from Origin,1,100000004,800000004,
