
Position X
 ==================== 
Position X,Unit,Category,Collection,Time,ID,
2469.05,µm,Surface,Position,1,0,
2406.43,µm,Surface,Position,1,1,
2436.35,µm,Surface,Position,1,2,
2409.84,µm,Surface,Position,1,3,
2383.03,µm,Surface,Position,1,4,
