
Position Y
 ==================== 
Position Y,Unit,Category,Collection,Time,ID,
22128.7,µm,Surface,Position,1,0,
22090.9,µm,Surface,Position,1,1,
22106.9,µm,Surface,Position,1,2,
22154.5,µm,Surface,Position,1,3,
22188,µm,Surface,Position,1,4,
