
Intensity Sum Ch=1 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
1.80982e+07,,Surface,1,Image 1,1,0,
1.52913e+07,,Surface,1,Image 1,1,1,
3.35416e+06,,Surface,1,Image 1,1,2,
1.7254e+07,,Surface,1,Image 1,1,3,
873147,,Surface,1,Image 1,1,4,
