
Soma BoundingBoxOO Length A
 ==================== 
Soma BoundingBoxOO Length A,Unit,Category,Collection,Time,FilamentID,ID,
6.04883,µm,Soma,Soma BoundingBoxOO Length,1,100000000,800000000,
4.38867,µm,Soma,Soma BoundingBoxOO Length,1,100000001,800000001,
5.44727,µm,Soma,Soma BoundingBoxOO Length,1,100000002,800000002,
6.92578,µm,Soma,Soma BoundingBoxOO Length,1,100000003,800000003,
3.08984,µm,Soma,Soma BoundingBoxOO Length,1,100000004,800000004,
