
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
22310.4,µm,Surface,Distance from Origin,1,0,
22266.1,µm,Surface,Distance from Origin,1,1,
22285.3,µm,Surface,Distance from Origin,1,2,
22329.7,µm,Surface,Distance from Origin,1,3,
22360,µm,Surface,Distance from Origin,1,4,
