
Spine Intensity Mean Ch=3 Img=1
 ==================== 
Spine Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
66.2105,,Spine,3,2,Image 1,2,1,100000000,610000008743,
72.2162,,Spine,3,1,Image 1,1,1,100000000,610000008744,
74.1279,,Spine,3,1,Image 1,2,1,100000000,610000008745,
106.333,,Spine,3,0,Image 1,1,1,100000000,610000008746,
105.344,,Spine,3,0,Image 1,1,1,100000000,610000008747,
43.9231,,Spine,3,9,Image 1,4,1,100000000,610000008753,
80.8291,,Spine,3,2,Image 1,1,1,100000000,610000008754,
83.0076,,Spine,3,2,Image 1,1,1,100000000,610000008755,
68.7969,,Spine,3,2,Image 1,1,1,100000000,610000008756,
54.8182,,Spine,3,4,Image 1,2,1,100000000,610000008757,
68.9444,,Spine,3,4,Image 1,1,1,100000000,610000008758,
70.7119,,Spine,3,4,Image 1,1,1,100000000,610000008759,
70.0175,,Spine,3,4,Image 1,1,1,100000000,610000008760,
33.7961,,Spine,3,6,Image 1,3,1,100000000,610000008762,
44.1875,,Spine,3,7,Image 1,2,1,100000000,610000008763,
62.4795,,Spine,3,8,Image 1,2,1,100000000,610000008764,
64.566,,Spine,3,7,Image 1,2,1,100000000,610000008765,
79.5285,,Spine,3,5,Image 1,1,1,100000000,610000008766,
72.0968,,Spine,3,5,Image 1,1,1,100000000,610000008767,
71.3361,,Spine,3,3,Image 1,1,1,100000000,610000008768,
78.0876,,Spine,3,3,Image 1,1,1,100000000,610000008769,
65.2968,,Spine,3,2,Image 1,2,1,100000000,610000008770,
55.7937,,Spine,3,1,Image 1,2,1,100000000,610000008771,
114.177,,Spine,3,0,Image 1,1,1,100000000,610000008773,
56.5,,Spine,3,0,Image 1,1,1,100000000,610000008777,
20.2444,,Spine,3,10,Image 1,4,1,100000001,610000008778,
62.7935,,Spine,3,13,Image 1,5,1,100000001,610000008779,
51.4854,,Spine,3,14,Image 1,5,1,100000001,610000008780,
17.2188,,Spine,3,13,Image 1,6,1,100000001,610000008781,
29.9298,,Spine,3,12,Image 1,5,1,100000001,610000008782,
54.3351,,Spine,3,10,Image 1,4,1,100000001,610000008783,
39.0617,,Spine,3,6,Image 1,4,1,100000001,610000008784,
44.0135,,Spine,3,6,Image 1,4,1,100000001,610000008785,
44.6316,,Spine,3,4,Image 1,2,1,100000001,610000008786,
95.5921,,Spine,3,2,Image 1,1,1,100000001,610000008787,
74.6944,,Spine,3,1,Image 1,1,1,100000001,610000008788,
101.944,,Spine,3,0,Image 1,1,1,100000001,610000008790,
97.3228,,Spine,3,0,Image 1,1,1,100000001,610000008791,
40.927,,Spine,3,5,Image 1,2,1,100000001,610000008793,
51,,Spine,3,6,Image 1,4,1,100000001,610000008794,
44.0933,,Spine,3,4,Image 1,5,1,100000001,610000008795,
53.4516,,Spine,3,4,Image 1,5,1,100000001,610000008796,
46.4054,,Spine,3,3,Image 1,3,1,100000001,610000008797,
51.6719,,Spine,3,2,Image 1,2,1,100000001,610000008798,
56.1774,,Spine,3,2,Image 1,2,1,100000001,610000008799,
61.3333,,Spine,3,2,Image 1,2,1,100000001,610000008800,
43.1899,,Spine,3,1,Image 1,1,1,100000001,610000008801,
38.5571,,Spine,3,3,Image 1,2,1,100000002,610000008802,
33.1,,Spine,3,3,Image 1,2,1,100000002,610000008803,
66.883,,Spine,3,1,Image 1,1,1,100000002,610000008804,
63.6382,,Spine,3,1,Image 1,1,1,100000002,610000008805,
71.9116,,Spine,3,1,Image 1,1,1,100000002,610000008806,
78.2727,,Spine,3,1,Image 1,2,1,100000002,610000008807,
34.1915,,Spine,3,3,Image 1,2,1,100000002,610000008809,
37.5407,,Spine,3,0,Image 1,1,1,100000002,610000008810,
38.4211,,Spine,3,0,Image 1,1,1,100000002,610000008811,
41.5636,,Spine,3,19,Image 1,2,1,100000003,610000008813,
57.3846,,Spine,3,18,Image 1,2,1,100000003,610000008814,
44.0631,,Spine,3,16,Image 1,1,1,100000003,610000008815,
45.7874,,Spine,3,17,Image 1,2,1,100000003,610000008816,
72.4587,,Spine,3,13,Image 1,1,1,100000003,610000008817,
50.641,,Spine,3,13,Image 1,2,1,100000003,610000008818,
61.3957,,Spine,3,11,Image 1,1,1,100000003,610000008819,
48.2843,,Spine,3,12,Image 1,3,1,100000003,610000008820,
42.8033,,Spine,3,11,Image 1,2,1,100000003,610000008821,
49.8571,,Spine,3,12,Image 1,3,1,100000003,610000008822,
36.6818,,Spine,3,13,Image 1,3,1,100000003,610000008823,
61.76,,Spine,3,11,Image 1,3,1,100000003,610000008824,
81.4574,,Spine,3,8,Image 1,1,1,100000003,610000008825,
63.8504,,Spine,3,7,Image 1,1,1,100000003,610000008826,
33.7581,,Spine,3,7,Image 1,2,1,100000003,610000008827,
34.8276,,Spine,3,7,Image 1,2,1,100000003,610000008828,
50.0882,,Spine,3,6,Image 1,4,1,100000003,610000008829,
82.1,,Spine,3,5,Image 1,2,1,100000003,610000008830,
70.4943,,Spine,3,5,Image 1,2,1,100000003,610000008831,
45.1905,,Spine,3,3,Image 1,2,1,100000003,610000008832,
42.8182,,Spine,3,6,Image 1,5,1,100000003,610000008833,
26.0779,,Spine,3,5,Image 1,4,1,100000003,610000008834,
33.2727,,Spine,3,5,Image 1,4,1,100000003,610000008835,
73.7416,,Spine,3,1,Image 1,2,1,100000003,610000008836,
83.4228,,Spine,3,0,Image 1,1,1,100000003,610000008837,
43.75,,Spine,3,2,Image 1,1,1,100000003,610000008840,
49.2346,,Spine,3,4,Image 1,3,1,100000003,610000008843,
59.3333,,Spine,3,4,Image 1,2,1,100000003,610000008844,
68.8657,,Spine,3,4,Image 1,2,1,100000003,610000008845,
59.2647,,Spine,3,4,Image 1,2,1,100000003,610000008846,
43.4203,,Spine,3,3,Image 1,2,1,100000003,610000008847,
90.9826,,Spine,3,7,Image 1,1,1,100000003,610000008848,
40.0345,,Spine,3,6,Image 1,2,1,100000003,610000008849,
65.8243,,Spine,3,4,Image 1,2,1,100000003,610000008850,
80.488,,Spine,3,3,Image 1,1,1,100000003,610000008851,
73.0361,,Spine,3,3,Image 1,2,1,100000003,610000008852,
47.8784,,Spine,3,0,Image 1,1,1,100000003,610000008853,
49.1193,,Spine,3,0,Image 1,1,1,100000003,610000008854,
33.3056,,Spine,3,0,Image 1,1,1,100000003,610000008855,
51.4634,,Spine,3,8,Image 1,4,1,100000003,610000008856,
44.35,,Spine,3,8,Image 1,4,1,100000003,610000008857,
68.4129,,Spine,3,0,Image 1,1,1,100000003,610000008858,
61.7947,,Spine,3,0,Image 1,1,1,100000003,610000008859,
