
Filament No. Segment Branch Pts
 ==================== 
Filament No. Segment Branch Pts,Unit,Category,Time,ID,
89,,Filament,1,100000000,
77,,Filament,1,100000001,
16,,Filament,1,100000002,
77,,Filament,1,100000003,
6,,Filament,1,100000004,
