
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
1.26709,µm,Surface,Image 1,1,0,
0,µm,Surface,Image 1,1,1,
25.207,µm,Surface,Image 1,1,2,
5.10596,µm,Surface,Image 1,1,3,
0,µm,Surface,Image 1,1,4,
