
Intensity Sum Ch=4 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
169970,,Surface,4,Image 1,1,0,
147391,,Surface,4,Image 1,1,1,
236752,,Surface,4,Image 1,1,2,
