
Spine Intensity Mean Ch=1 Img=1
 ==================== 
Spine Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
12.2157,,Spine,1,0,Image 1,1,1,100000000,610000001542,
7.6087,,Spine,1,0,Image 1,1,1,100000000,610000001546,
1.94737,,Spine,1,1,Image 1,2,1,100000000,610000001550,
1.87736,,Spine,1,1,Image 1,2,1,100000000,610000001553,
4.79452,,Spine,1,6,Image 1,3,1,100000002,610000001555,
1.8042,,Spine,1,6,Image 1,1,1,100000000,610000001559,
1.61111,,Spine,1,6,Image 1,2,1,100000001,610000001562,
2.84051,,Spine,1,2,Image 1,1,1,100000002,610000001567,
1.88235,,Spine,1,1,Image 1,2,1,100000000,610000001569,
1.77205,,Spine,1,2,Image 1,1,1,100000002,610000001575,
1.86325,,Spine,1,6,Image 1,1,1,100000000,610000001577,
2,,Spine,1,2,Image 1,1,1,100000002,610000001581,
20.549,,Spine,1,3,Image 1,1,1,100000002,610000001587,
1.71429,,Spine,1,2,Image 1,1,1,100000002,610000001592,
1.25547,,Spine,1,2,Image 1,1,1,100000002,610000001597,
8.64583,,Spine,1,5,Image 1,3,1,100000002,610000001599,
2.71186,,Spine,1,2,Image 1,1,1,100000002,610000001606,
2.09412,,Spine,1,2,Image 1,1,1,100000002,610000001611,
2.98649,,Spine,1,4,Image 1,2,1,100000000,610000001613,
2.2449,,Spine,1,0,Image 1,1,1,100000000,610000001615,
3.01717,,Spine,1,0,Image 1,1,1,100000000,610000001617,
32.6772,,Spine,1,4,Image 1,2,1,100000000,610000001619,
1.26749,,Spine,1,0,Image 1,1,1,100000001,610000001622,
1.4359,,Spine,1,0,Image 1,1,1,100000001,610000001627,
1.53623,,Spine,1,6,Image 1,3,1,100000002,610000001629,
1.82203,,Spine,1,5,Image 1,2,1,100000000,610000001631,
16.8415,,Spine,1,3,Image 1,1,1,100000002,610000001635,
1.29167,,Spine,1,2,Image 1,1,1,100000002,610000001640,
1.6875,,Spine,1,0,Image 1,1,1,100000001,610000001642,
1.96094,,Spine,1,2,Image 1,1,1,100000002,610000001646,
1.64748,,Spine,1,0,Image 1,1,1,100000001,610000001651,
1.66397,,Spine,1,2,Image 1,1,1,100000002,610000001655,
1.09434,,Spine,1,6,Image 1,2,1,100000001,610000001657,
1.03412,,Spine,1,0,Image 1,1,1,100000001,610000001660,
5.20962,,Spine,1,0,Image 1,1,1,100000001,610000001664,
0.685714,,Spine,1,0,Image 1,1,1,100000001,610000001668,
1.32105,,Spine,1,2,Image 1,1,1,100000002,610000001671,
1.11528,,Spine,1,2,Image 1,1,1,100000002,610000001674,
1.23232,,Spine,1,2,Image 1,1,1,100000002,610000001681,
2.68571,,Spine,1,0,Image 1,1,1,100000002,610000001684,
1.26891,,Spine,1,2,Image 1,1,1,100000002,610000001687,
1.54506,,Spine,1,2,Image 1,1,1,100000002,610000001690,
2.78514,,Spine,1,0,Image 1,1,1,100000001,610000001695,
0.633929,,Spine,1,0,Image 1,1,1,100000001,610000001699,
9.4958,,Spine,1,3,Image 1,1,1,100000002,610000001701,
1.02092,,Spine,1,2,Image 1,1,1,100000002,610000001703,
15.473,,Spine,1,5,Image 1,2,1,100000001,610000001706,
0.691358,,Spine,1,0,Image 1,1,1,100000001,610000001710,
0.658436,,Spine,1,0,Image 1,1,1,100000001,610000001713,
1.40909,,Spine,1,2,Image 1,1,1,100000002,610000001715,
1.03965,,Spine,1,0,Image 1,1,1,100000001,610000001718,
1.19828,,Spine,1,2,Image 1,1,1,100000002,610000001721,
2.18095,,Spine,1,5,Image 1,3,1,100000002,610000001723,
14.4368,,Spine,1,1,Image 1,2,1,100000001,610000001725,
1.20879,,Spine,1,2,Image 1,1,1,100000002,610000001727,
1.02174,,Spine,1,2,Image 1,1,1,100000002,610000001730,
1.23438,,Spine,1,2,Image 1,1,1,100000002,610000001733,
1.71429,,Spine,1,0,Image 1,1,1,100000000,610000001735,
1.26259,,Spine,1,2,Image 1,1,1,100000002,610000001739,
1.5618,,Spine,1,6,Image 1,3,1,100000002,610000001742,
3.34565,,Spine,1,2,Image 1,1,1,100000002,610000001745,
0.874419,,Spine,1,0,Image 1,1,1,100000000,610000001751,
16.8079,,Spine,1,3,Image 1,1,1,100000002,610000001755,
2.57831,,Spine,1,6,Image 1,3,1,100000002,610000001758,
1.45361,,Spine,1,2,Image 1,1,1,100000002,610000001764,
3.63333,,Spine,1,2,Image 1,1,1,100000002,610000001766,
3.50355,,Spine,1,6,Image 1,3,1,100000002,610000001768,
1.42771,,Spine,1,2,Image 1,1,1,100000002,610000001770,
0.930676,,Spine,1,0,Image 1,1,1,100000001,610000001774,
1.94,,Spine,1,2,Image 1,1,1,100000002,610000001776,
0.869732,,Spine,1,0,Image 1,1,1,100000001,610000001778,
31.3713,,Spine,1,1,Image 1,2,1,100000000,610000001783,
1.81181,,Spine,1,0,Image 1,1,1,100000000,610000001785,
0.833887,,Spine,1,0,Image 1,1,1,100000001,610000001790,
2.41584,,Spine,1,0,Image 1,1,1,100000001,610000001792,
2.04499,,Spine,1,0,Image 1,1,1,100000000,610000001795,
2.64815,,Spine,1,0,Image 1,1,1,100000000,610000001799,
1.7003,,Spine,1,0,Image 1,1,1,100000001,610000001804,
3.23673,,Spine,1,0,Image 1,1,1,100000001,610000001807,
1.92157,,Spine,1,2,Image 1,1,1,100000002,610000001810,
3.22857,,Spine,1,2,Image 1,1,1,100000002,610000001812,
2.76393,,Spine,1,2,Image 1,1,1,100000002,610000001819,
2.23299,,Spine,1,0,Image 1,1,1,100000000,610000001822,
1.32075,,Spine,1,2,Image 1,1,1,100000002,610000001826,
1.29126,,Spine,1,2,Image 1,1,1,100000002,610000001828,
1.65061,,Spine,1,0,Image 1,1,1,100000000,610000001831,
0.965278,,Spine,1,0,Image 1,1,1,100000000,610000001836,
2.03571,,Spine,1,0,Image 1,1,1,100000001,610000001840,
1.36364,,Spine,1,2,Image 1,1,1,100000002,610000001843,
1.63056,,Spine,1,0,Image 1,1,1,100000001,610000001846,
1.63656,,Spine,1,2,Image 1,1,1,100000002,610000001849,
2.52375,,Spine,1,0,Image 1,1,1,100000001,610000001852,
0.93166,,Spine,1,0,Image 1,1,1,100000001,610000001854,
0.949495,,Spine,1,0,Image 1,1,1,100000001,610000001857,
5.31301,,Spine,1,0,Image 1,1,1,100000001,610000001859,
1.19876,,Spine,1,0,Image 1,1,1,100000000,610000001862,
2.25893,,Spine,1,0,Image 1,1,1,100000001,610000001868,
1.47436,,Spine,1,2,Image 1,1,1,100000002,610000001872,
2.63696,,Spine,1,0,Image 1,1,1,100000001,610000001878,
3.23779,,Spine,1,0,Image 1,1,1,100000001,610000001881,
0.809982,,Spine,1,0,Image 1,1,1,100000001,610000001888,
0.852564,,Spine,1,0,Image 1,1,1,100000001,610000001892,
3.63319,,Spine,1,0,Image 1,1,1,100000001,610000001894,
1.58874,,Spine,1,0,Image 1,1,1,100000000,610000001897,
2.41176,,Spine,1,0,Image 1,1,1,100000001,610000001899,
2.93902,,Spine,1,0,Image 1,1,1,100000000,610000001901,
1.22772,,Spine,1,0,Image 1,1,1,100000000,610000001905,
1.96014,,Spine,1,0,Image 1,1,1,100000001,610000001910,
3.31293,,Spine,1,0,Image 1,1,1,100000000,610000001914,
1.22462,,Spine,1,0,Image 1,1,1,100000000,610000001922,
1.13873,,Spine,1,0,Image 1,1,1,100000001,610000001924,
1.93795,,Spine,1,0,Image 1,1,1,100000000,610000001926,
0.907104,,Spine,1,0,Image 1,1,1,100000000,610000001932,
2.26471,,Spine,1,6,Image 1,1,1,100000000,610000001942,
2.29032,,Spine,1,6,Image 1,2,1,100000000,610000001943,
2.84141,,Spine,1,5,Image 1,2,1,100000000,610000001944,
14.1285,,Spine,1,4,Image 1,1,1,100000000,610000001945,
3.59649,,Spine,1,4,Image 1,2,1,100000000,610000001946,
29.5429,,Spine,1,4,Image 1,2,1,100000000,610000001947,
5.7451,,Spine,1,1,Image 1,2,1,100000000,610000001948,
18.2841,,Spine,1,1,Image 1,2,1,100000000,610000001949,
4.09554,,Spine,1,1,Image 1,2,1,100000000,610000001950,
