
Segment No. Spines
 ==================== 
Segment No. Spines,Unit,Category,Depth,Level,Time,FilamentID,ID,
3,,Segment,6,2,1,100000001,510000000046,
4,,Segment,5,2,1,100000001,510000000082,
0,,Segment,4,1,1,100000001,510000000084,
0,,Segment,3,1,1,100000001,510000000088,
0,,Segment,2,1,1,100000001,510000000098,
0,,Segment,1,1,1,100000001,510000000109,
3,,Segment,0,1,1,100000001,510000000137,
1,,Segment,5,1,1,100000001,510000000174,
1,,Segment,3,2,1,100000001,510000000184,
0,,Segment,4,2,1,100000001,510000000204,
0,,Segment,2,2,1,100000001,510000000218,
0,,Segment,1,2,1,100000001,510000000222,
0,,Segment,7,3,1,100000002,510000000235,
10,,Segment,6,3,1,100000002,510000000322,
2,,Segment,5,3,1,100000002,510000000350,
2,,Segment,4,3,1,100000002,510000000369,
0,,Segment,3,3,1,100000002,510000000382,
0,,Segment,2,3,1,100000002,510000000386,
0,,Segment,1,2,1,100000002,510000000409,
2,,Segment,0,1,1,100000002,510000000418,
0,,Segment,7,4,1,100000002,510000000442,
0,,Segment,6,4,1,100000002,510000000464,
0,,Segment,8,6,1,100000002,510000000473,
0,,Segment,7,6,1,100000002,510000000477,
0,,Segment,6,5,1,100000002,510000000480,
0,,Segment,5,5,1,100000002,510000000489,
1,,Segment,4,4,1,100000002,510000000494,
0,,Segment,7,5,1,100000002,510000000500,
0,,Segment,6,6,1,100000002,510000000502,
0,,Segment,5,4,1,100000002,510000000506,
0,,Segment,3,4,1,100000002,510000000517,
0,,Segment,2,2,1,100000002,510000000519,
3,,Segment,6,1,1,100000000,510000000524,
0,,Segment,5,1,1,100000000,510000000544,
1,,Segment,4,1,1,100000000,510000000574,
0,,Segment,3,1,1,100000000,510000000578,
0,,Segment,2,1,1,100000000,510000000583,
0,,Segment,1,1,1,100000000,510000000588,
0,,Segment,0,1,1,100000000,510000000597,
7,,Segment,1,2,1,100000000,510000000671,
0,,Segment,0,1,1,100000000,510000000690,
6,,Segment,3,1,1,100000002,510000000740,
1,,Segment,2,1,1,100000002,510000000772,
0,,Segment,1,1,1,100000002,510000000774,
0,,Segment,0,1,1,100000002,510000000790,
0,,Segment,3,3,1,100000002,510000000794,
1,,Segment,2,2,1,100000002,510000000833,
0,,Segment,1,1,1,100000002,510000000837,
0,,Segment,3,2,1,100000002,510000000841,
1,,Segment,3,2,1,100000002,510000000847,
1,,Segment,6,2,1,100000000,510000000850,
0,,Segment,3,3,1,100000002,510000000855,
0,,Segment,2,2,1,100000002,510000000877,
2,,Segment,5,2,1,100000000,510000000893,
0,,Segment,3,2,1,100000002,510000000895,
3,,Segment,0,1,1,100000001,510000000931,
0,,Segment,1,2,1,100000002,510000000972,
8,,Segment,0,1,1,100000000,510000001008,
4,,Segment,4,2,1,100000000,510000001031,
0,,Segment,2,1,1,100000002,510000001035,
0,,Segment,3,2,1,100000000,510000001042,
0,,Segment,2,2,1,100000000,510000001053,
3,,Segment,1,2,1,100000001,510000001085,
2,,Segment,0,1,1,100000001,510000001093,
0,,Segment,1,2,1,100000000,510000001100,
2,,Segment,0,1,1,100000000,510000001132,
1,,Segment,0,1,1,100000001,510000001142,
0,,Segment,0,1,1,100000000,510000001259,
0,,Segment,2,1,1,100000001,510000001277,
1,,Segment,1,1,1,100000001,510000001280,
0,,Segment,2,2,1,100000001,510000001289,
0,,Segment,0,1,1,100000001,510000001293,
0,,Segment,0,1,1,100000001,510000001300,
1,,Segment,0,1,1,100000001,510000001326,
0,,Segment,0,1,1,100000000,510000001375,
0,,Segment,1,1,1,100000000,510000001392,
0,,Segment,6,3,1,100000001,510000001395,
0,,Segment,5,4,1,100000002,510000001399,
0,,Segment,8,7,1,100000002,510000001400,
