
Volume Outside Img=1
 ==================== 
Distance to Surface,Volume Outside,Unit,Collection,Image,Time,ID,
0.068,77.5478,µm^3,Volume Outside,Image 1,1,,
0.204,77.0512,µm^3,Volume Outside,Image 1,1,,
0.34,82.1329,µm^3,Volume Outside,Image 1,1,,
0.476,79.8194,µm^3,Volume Outside,Image 1,1,,
0.612,82.3803,µm^3,Volume Outside,Image 1,1,,
0.748,87.9065,µm^3,Volume Outside,Image 1,1,,
0.884,86.8191,µm^3,Volume Outside,Image 1,1,,
1.02,88.4051,µm^3,Volume Outside,Image 1,1,,
1.156,90.6383,µm^3,Volume Outside,Image 1,1,,
1.292,89.8685,µm^3,Volume Outside,Image 1,1,,
1.428,90.1722,µm^3,Volume Outside,Image 1,1,,
1.564,90.8201,µm^3,Volume Outside,Image 1,1,,
1.7,90.8924,µm^3,Volume Outside,Image 1,1,,
1.836,90.6366,µm^3,Volume Outside,Image 1,1,,
1.972,90.365,µm^3,Volume Outside,Image 1,1,,
2.108,90.2678,µm^3,Volume Outside,Image 1,1,,
2.244,89.9235,µm^3,Volume Outside,Image 1,1,,
2.38,90.0064,µm^3,Volume Outside,Image 1,1,,
2.516,89.7666,µm^3,Volume Outside,Image 1,1,,
2.652,89.701,µm^3,Volume Outside,Image 1,1,,
2.788,90.0263,µm^3,Volume Outside,Image 1,1,,
2.924,89.4329,µm^3,Volume Outside,Image 1,1,,
3.06,89.0776,µm^3,Volume Outside,Image 1,1,,
3.196,88.2892,µm^3,Volume Outside,Image 1,1,,
3.332,87.2784,µm^3,Volume Outside,Image 1,1,,
3.468,86.4143,µm^3,Volume Outside,Image 1,1,,
3.604,85.6441,µm^3,Volume Outside,Image 1,1,,
3.74,84.7522,µm^3,Volume Outside,Image 1,1,,
3.876,84.2903,µm^3,Volume Outside,Image 1,1,,
4.012,83.7659,µm^3,Volume Outside,Image 1,1,,
4.148,83.3285,µm^3,Volume Outside,Image 1,1,,
4.284,83.0849,µm^3,Volume Outside,Image 1,1,,
4.42,82.5355,µm^3,Volume Outside,Image 1,1,,
4.556,82.8938,µm^3,Volume Outside,Image 1,1,,
4.692,83.0655,µm^3,Volume Outside,Image 1,1,,
4.828,82.958,µm^3,Volume Outside,Image 1,1,,
4.964,82.4171,µm^3,Volume Outside,Image 1,1,,
5.1,81.4063,µm^3,Volume Outside,Image 1,1,,
5.236,80.1247,µm^3,Volume Outside,Image 1,1,,
5.372,79.8553,µm^3,Volume Outside,Image 1,1,,
5.508,79.3838,µm^3,Volume Outside,Image 1,1,,
5.644,78.1568,µm^3,Volume Outside,Image 1,1,,
5.78,76.4062,µm^3,Volume Outside,Image 1,1,,
5.916,74.3533,µm^3,Volume Outside,Image 1,1,,
6.052,73.1678,µm^3,Volume Outside,Image 1,1,,
6.188,71.9945,µm^3,Volume Outside,Image 1,1,,
6.324,70.8665,µm^3,Volume Outside,Image 1,1,,
6.46,69.5038,µm^3,Volume Outside,Image 1,1,,
6.596,68.0709,µm^3,Volume Outside,Image 1,1,,
6.732,67.5185,µm^3,Volume Outside,Image 1,1,,
6.868,66.9184,µm^3,Volume Outside,Image 1,1,,
7.004,66.229,µm^3,Volume Outside,Image 1,1,,
7.14,65.4034,µm^3,Volume Outside,Image 1,1,,
7.276,64.2982,µm^3,Volume Outside,Image 1,1,,
7.412,63.1961,µm^3,Volume Outside,Image 1,1,,
7.548,62.9068,µm^3,Volume Outside,Image 1,1,,
7.684,62.4906,µm^3,Volume Outside,Image 1,1,,
7.82,61.9374,µm^3,Volume Outside,Image 1,1,,
7.956,61.1042,µm^3,Volume Outside,Image 1,1,,
8.092,59.6687,µm^3,Volume Outside,Image 1,1,,
8.228,58.9167,µm^3,Volume Outside,Image 1,1,,
8.364,59.047,µm^3,Volume Outside,Image 1,1,,
8.5,58.2768,µm^3,Volume Outside,Image 1,1,,
8.636,57.8353,µm^3,Volume Outside,Image 1,1,,
8.772,56.5834,µm^3,Volume Outside,Image 1,1,,
8.908,55.9396,µm^3,Volume Outside,Image 1,1,,
9.044,55.9925,µm^3,Volume Outside,Image 1,1,,
9.18,55.1475,µm^3,Volume Outside,Image 1,1,,
9.316,54.807,µm^3,Volume Outside,Image 1,1,,
9.452,53.4489,µm^3,Volume Outside,Image 1,1,,
9.588,52.4385,µm^3,Volume Outside,Image 1,1,,
9.724,51.8096,µm^3,Volume Outside,Image 1,1,,
9.86,50.2253,µm^3,Volume Outside,Image 1,1,,
9.996,49.1582,µm^3,Volume Outside,Image 1,1,,
10.132,47.4068,µm^3,Volume Outside,Image 1,1,,
10.268,46.0783,µm^3,Volume Outside,Image 1,1,,
10.404,44.0774,µm^3,Volume Outside,Image 1,1,,
10.54,42.7997,µm^3,Volume Outside,Image 1,1,,
10.676,42.1889,µm^3,Volume Outside,Image 1,1,,
10.812,40.9886,µm^3,Volume Outside,Image 1,1,,
10.948,40.2984,µm^3,Volume Outside,Image 1,1,,
11.084,39.104,µm^3,Volume Outside,Image 1,1,,
11.22,38.4869,µm^3,Volume Outside,Image 1,1,,
11.356,38.5059,µm^3,Volume Outside,Image 1,1,,
11.492,38.031,µm^3,Volume Outside,Image 1,1,,
11.628,38.0081,µm^3,Volume Outside,Image 1,1,,
11.764,37.4837,µm^3,Volume Outside,Image 1,1,,
11.9,37.4372,µm^3,Volume Outside,Image 1,1,,
12.036,37.8698,µm^3,Volume Outside,Image 1,1,,
12.172,37.6004,µm^3,Volume Outside,Image 1,1,,
12.308,37.7269,µm^3,Volume Outside,Image 1,1,,
12.444,37.2388,µm^3,Volume Outside,Image 1,1,,
12.58,37.3094,µm^3,Volume Outside,Image 1,1,,
12.716,37.6296,µm^3,Volume Outside,Image 1,1,,
12.852,37.3868,µm^3,Volume Outside,Image 1,1,,
12.988,37.4651,µm^3,Volume Outside,Image 1,1,,
13.124,36.9935,µm^3,Volume Outside,Image 1,1,,
13.26,36.9893,µm^3,Volume Outside,Image 1,1,,
13.396,37.3657,µm^3,Volume Outside,Image 1,1,,
13.532,37.1352,µm^3,Volume Outside,Image 1,1,,
13.668,37.3471,µm^3,Volume Outside,Image 1,1,,
13.804,37.051,µm^3,Volume Outside,Image 1,1,,
13.94,37.0849,µm^3,Volume Outside,Image 1,1,,
14.076,36.5575,µm^3,Volume Outside,Image 1,1,,
14.212,36.4703,µm^3,Volume Outside,Image 1,1,,
14.348,36.8679,µm^3,Volume Outside,Image 1,1,,
14.484,36.6408,µm^3,Volume Outside,Image 1,1,,
14.62,36.6767,µm^3,Volume Outside,Image 1,1,,
14.756,36.1853,µm^3,Volume Outside,Image 1,1,,
14.892,36.1337,µm^3,Volume Outside,Image 1,1,,
15.028,36.5126,µm^3,Volume Outside,Image 1,1,,
15.164,36.3447,µm^3,Volume Outside,Image 1,1,,
15.3,36.4149,µm^3,Volume Outside,Image 1,1,,
15.436,35.8634,µm^3,Volume Outside,Image 1,1,,
15.572,35.7868,µm^3,Volume Outside,Image 1,1,,
15.708,36.2174,µm^3,Volume Outside,Image 1,1,,
15.844,36.1007,µm^3,Volume Outside,Image 1,1,,
15.98,36.2851,µm^3,Volume Outside,Image 1,1,,
16.116,35.3982,µm^3,Volume Outside,Image 1,1,,
16.252,35.8922,µm^3,Volume Outside,Image 1,1,,
16.388,35.783,µm^3,Volume Outside,Image 1,1,,
16.524,34.9469,µm^3,Volume Outside,Image 1,1,,
16.66,35.6646,µm^3,Volume Outside,Image 1,1,,
16.796,35.624,µm^3,Volume Outside,Image 1,1,,
16.932,34.8534,µm^3,Volume Outside,Image 1,1,,
17.068,35.6773,µm^3,Volume Outside,Image 1,1,,
17.204,36.0309,µm^3,Volume Outside,Image 1,1,,
17.34,35.6807,µm^3,Volume Outside,Image 1,1,,
17.476,34.7646,µm^3,Volume Outside,Image 1,1,,
17.612,35.3085,µm^3,Volume Outside,Image 1,1,,
17.748,35.2463,µm^3,Volume Outside,Image 1,1,,
17.884,34.5815,µm^3,Volume Outside,Image 1,1,,
18.02,35.3796,µm^3,Volume Outside,Image 1,1,,
18.156,35.7014,µm^3,Volume Outside,Image 1,1,,
18.292,35.2607,µm^3,Volume Outside,Image 1,1,,
18.428,34.2334,µm^3,Volume Outside,Image 1,1,,
18.564,34.4368,µm^3,Volume Outside,Image 1,1,,
18.7,33.6349,µm^3,Volume Outside,Image 1,1,,
18.836,31.8979,µm^3,Volume Outside,Image 1,1,,
18.972,31.3908,µm^3,Volume Outside,Image 1,1,,
19.108,30.4159,µm^3,Volume Outside,Image 1,1,,
19.244,29.0232,µm^3,Volume Outside,Image 1,1,,
19.38,29.1729,µm^3,Volume Outside,Image 1,1,,
19.516,29.1221,µm^3,Volume Outside,Image 1,1,,
19.652,28.4797,µm^3,Volume Outside,Image 1,1,,
19.788,27.4718,µm^3,Volume Outside,Image 1,1,,
19.924,27.7395,µm^3,Volume Outside,Image 1,1,,
20.06,27.4701,µm^3,Volume Outside,Image 1,1,,
20.196,26.6496,µm^3,Volume Outside,Image 1,1,,
20.332,27.0146,µm^3,Volume Outside,Image 1,1,,
20.468,27.0311,µm^3,Volume Outside,Image 1,1,,
20.604,26.4948,µm^3,Volume Outside,Image 1,1,,
20.74,25.6345,µm^3,Volume Outside,Image 1,1,,
20.876,25.8562,µm^3,Volume Outside,Image 1,1,,
21.012,25.6532,µm^3,Volume Outside,Image 1,1,,
21.148,24.888,µm^3,Volume Outside,Image 1,1,,
21.284,25.2361,µm^3,Volume Outside,Image 1,1,,
21.42,25.0154,µm^3,Volume Outside,Image 1,1,,
21.556,24.2773,µm^3,Volume Outside,Image 1,1,,
21.692,24.6609,µm^3,Volume Outside,Image 1,1,,
21.828,24.7045,µm^3,Volume Outside,Image 1,1,,
21.964,24.1432,µm^3,Volume Outside,Image 1,1,,
22.1,23.3477,µm^3,Volume Outside,Image 1,1,,
22.236,23.5702,µm^3,Volume Outside,Image 1,1,,
22.372,23.3278,µm^3,Volume Outside,Image 1,1,,
22.508,22.6777,µm^3,Volume Outside,Image 1,1,,
22.644,22.9472,µm^3,Volume Outside,Image 1,1,,
22.78,22.7661,µm^3,Volume Outside,Image 1,1,,
22.916,22.1419,µm^3,Volume Outside,Image 1,1,,
23.052,22.5069,µm^3,Volume Outside,Image 1,1,,
23.188,22.495,µm^3,Volume Outside,Image 1,1,,
23.324,22.0336,µm^3,Volume Outside,Image 1,1,,
23.46,21.2858,µm^3,Volume Outside,Image 1,1,,
23.596,21.4652,µm^3,Volume Outside,Image 1,1,,
23.732,21.2452,µm^3,Volume Outside,Image 1,1,,
23.868,20.6612,µm^3,Volume Outside,Image 1,1,,
24.004,20.9572,µm^3,Volume Outside,Image 1,1,,
24.14,20.9754,µm^3,Volume Outside,Image 1,1,,
24.276,20.5106,µm^3,Volume Outside,Image 1,1,,
24.412,19.8182,µm^3,Volume Outside,Image 1,1,,
24.548,20.0111,µm^3,Volume Outside,Image 1,1,,
24.684,19.8085,µm^3,Volume Outside,Image 1,1,,
24.82,19.1783,µm^3,Volume Outside,Image 1,1,,
24.956,19.3885,µm^3,Volume Outside,Image 1,1,,
25.092,19.1859,µm^3,Volume Outside,Image 1,1,,
25.228,18.6137,µm^3,Volume Outside,Image 1,1,,
25.364,18.8641,µm^3,Volume Outside,Image 1,1,,
25.5,18.9157,µm^3,Volume Outside,Image 1,1,,
25.636,18.5435,µm^3,Volume Outside,Image 1,1,,
25.772,17.8706,µm^3,Volume Outside,Image 1,1,,
25.908,17.9839,µm^3,Volume Outside,Image 1,1,,
26.044,17.7877,µm^3,Volume Outside,Image 1,1,,
26.18,17.2235,µm^3,Volume Outside,Image 1,1,,
26.316,17.3728,µm^3,Volume Outside,Image 1,1,,
26.452,17.2011,µm^3,Volume Outside,Image 1,1,,
26.588,16.6817,µm^3,Volume Outside,Image 1,1,,
26.724,16.8885,µm^3,Volume Outside,Image 1,1,,
26.86,16.8784,µm^3,Volume Outside,Image 1,1,,
26.996,16.4935,µm^3,Volume Outside,Image 1,1,,
27.132,15.9272,µm^3,Volume Outside,Image 1,1,,
27.268,16.0435,µm^3,Volume Outside,Image 1,1,,
27.404,15.8337,µm^3,Volume Outside,Image 1,1,,
27.54,15.3511,µm^3,Volume Outside,Image 1,1,,
27.676,15.5495,µm^3,Volume Outside,Image 1,1,,
27.812,15.5482,µm^3,Volume Outside,Image 1,1,,
27.948,15.1989,µm^3,Volume Outside,Image 1,1,,
28.084,14.6495,µm^3,Volume Outside,Image 1,1,,
28.22,14.7865,µm^3,Volume Outside,Image 1,1,,
28.356,14.619,µm^3,Volume Outside,Image 1,1,,
28.492,14.139,µm^3,Volume Outside,Image 1,1,,
28.628,14.2667,µm^3,Volume Outside,Image 1,1,,
28.764,14.1001,µm^3,Volume Outside,Image 1,1,,
28.9,13.65,µm^3,Volume Outside,Image 1,1,,
29.036,13.79,µm^3,Volume Outside,Image 1,1,,
29.172,13.785,µm^3,Volume Outside,Image 1,1,,
29.308,13.4593,µm^3,Volume Outside,Image 1,1,,
29.444,12.9674,µm^3,Volume Outside,Image 1,1,,
29.58,13.0719,µm^3,Volume Outside,Image 1,1,,
29.716,12.9065,µm^3,Volume Outside,Image 1,1,,
29.852,12.4785,µm^3,Volume Outside,Image 1,1,,
29.988,12.5491,µm^3,Volume Outside,Image 1,1,,
30.124,12.4007,µm^3,Volume Outside,Image 1,1,,
30.26,12.0145,µm^3,Volume Outside,Image 1,1,,
30.396,12.1423,µm^3,Volume Outside,Image 1,1,,
30.532,12.1059,µm^3,Volume Outside,Image 1,1,,
30.668,11.8086,µm^3,Volume Outside,Image 1,1,,
30.804,11.3801,µm^3,Volume Outside,Image 1,1,,
30.94,11.4237,µm^3,Volume Outside,Image 1,1,,
31.076,11.2494,µm^3,Volume Outside,Image 1,1,,
31.212,10.8933,µm^3,Volume Outside,Image 1,1,,
31.348,11.0198,µm^3,Volume Outside,Image 1,1,,
31.484,10.9838,µm^3,Volume Outside,Image 1,1,,
31.62,10.6924,µm^3,Volume Outside,Image 1,1,,
31.756,10.2906,µm^3,Volume Outside,Image 1,1,,
31.892,10.4369,µm^3,Volume Outside,Image 1,1,,
32.028,10.368,µm^3,Volume Outside,Image 1,1,,
32.164,9.73487,µm^3,Volume Outside,Image 1,1,,
32.3,9.59572,µm^3,Volume Outside,Image 1,1,,
32.436,9.8719,µm^3,Volume Outside,Image 1,1,,
32.572,9.31954,µm^3,Volume Outside,Image 1,1,,
32.708,9.17574,µm^3,Volume Outside,Image 1,1,,
32.844,9.41131,µm^3,Volume Outside,Image 1,1,,
32.98,8.88348,µm^3,Volume Outside,Image 1,1,,
33.116,8.72065,µm^3,Volume Outside,Image 1,1,,
33.252,8.90674,µm^3,Volume Outside,Image 1,1,,
33.388,8.44701,µm^3,Volume Outside,Image 1,1,,
33.524,8.31843,µm^3,Volume Outside,Image 1,1,,
33.66,8.58108,µm^3,Volume Outside,Image 1,1,,
33.796,8.29305,µm^3,Volume Outside,Image 1,1,,
33.932,8.27022,µm^3,Volume Outside,Image 1,1,,
34.068,7.73308,µm^3,Volume Outside,Image 1,1,,
34.204,7.55544,µm^3,Volume Outside,Image 1,1,,
34.34,7.70728,µm^3,Volume Outside,Image 1,1,,
34.476,7.25304,µm^3,Volume Outside,Image 1,1,,
34.612,7.11305,µm^3,Volume Outside,Image 1,1,,
34.748,7.25389,µm^3,Volume Outside,Image 1,1,,
34.884,6.79711,µm^3,Volume Outside,Image 1,1,,
35.02,6.64358,µm^3,Volume Outside,Image 1,1,,
35.156,6.7933,µm^3,Volume Outside,Image 1,1,,
35.292,6.38939,µm^3,Volume Outside,Image 1,1,,
35.428,6.24686,µm^3,Volume Outside,Image 1,1,,
