
Spine Neck Max Diameter
 ==================== 
Spine Neck Max Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.1625,µm,Spine,0,1,1,100000000,610000001542,
0.1625,µm,Spine,0,1,1,100000000,610000001546,
0.298939,µm,Spine,1,2,1,100000000,610000001550,
0.298939,µm,Spine,1,2,1,100000000,610000001553,
0.236471,µm,Spine,6,3,1,100000002,610000001555,
0.354337,µm,Spine,6,1,1,100000000,610000001559,
0.222919,µm,Spine,6,2,1,100000001,610000001562,
0.223438,µm,Spine,3,1,1,100000002,610000001567,
0.24375,µm,Spine,1,2,1,100000000,610000001569,
0,µm,Spine,3,1,1,100000002,610000001575,
0.349389,µm,Spine,6,1,1,100000000,610000001577,
0.167578,µm,Spine,3,1,1,100000002,610000001581,
0.25388,µm,Spine,3,1,1,100000002,610000001587,
0.182812,µm,Spine,3,1,1,100000002,610000001592,
0.218977,µm,Spine,3,1,1,100000002,610000001597,
0,µm,Spine,5,3,1,100000002,610000001599,
0.1625,µm,Spine,3,1,1,100000002,610000001606,
0.680977,µm,Spine,3,1,1,100000002,610000001611,
0.224216,µm,Spine,4,2,1,100000000,610000001613,
0.1625,µm,Spine,0,1,1,100000000,610000001615,
0.502704,µm,Spine,0,1,1,100000000,610000001617,
0,µm,Spine,4,2,1,100000000,610000001619,
0,µm,Spine,0,1,1,100000001,610000001622,
0.351252,µm,Spine,0,1,1,100000001,610000001627,
0,µm,Spine,6,3,1,100000002,610000001629,
0.309847,µm,Spine,5,2,1,100000000,610000001631,
0.413282,µm,Spine,3,1,1,100000002,610000001635,
0.374945,µm,Spine,3,1,1,100000002,610000001640,
0.417138,µm,Spine,0,1,1,100000001,610000001642,
0.30844,µm,Spine,3,1,1,100000002,610000001646,
0.639844,µm,Spine,0,1,1,100000001,610000001651,
0.622493,µm,Spine,3,1,1,100000002,610000001655,
0.200586,µm,Spine,6,2,1,100000001,610000001657,
0,µm,Spine,0,1,1,100000001,610000001660,
0,µm,Spine,0,1,1,100000001,610000001664,
0.284156,µm,Spine,0,1,1,100000001,610000001668,
0,µm,Spine,3,1,1,100000002,610000001671,
0,µm,Spine,3,1,1,100000002,610000001674,
0.416406,µm,Spine,3,1,1,100000002,610000001681,
0.256891,µm,Spine,0,1,1,100000002,610000001684,
0,µm,Spine,3,1,1,100000002,610000001687,
0,µm,Spine,3,1,1,100000002,610000001690,
0,µm,Spine,0,1,1,100000001,610000001695,
0,µm,Spine,0,1,1,100000001,610000001699,
0.273487,µm,Spine,3,1,1,100000002,610000001701,
0,µm,Spine,3,1,1,100000002,610000001703,
0.337415,µm,Spine,5,2,1,100000001,610000001706,
0,µm,Spine,0,1,1,100000001,610000001710,
0,µm,Spine,0,1,1,100000001,610000001713,
0,µm,Spine,3,1,1,100000002,610000001715,
0,µm,Spine,0,1,1,100000001,610000001718,
0,µm,Spine,3,1,1,100000002,610000001721,
0.310581,µm,Spine,5,3,1,100000002,610000001723,
0.300963,µm,Spine,1,2,1,100000001,610000001725,
0,µm,Spine,3,1,1,100000002,610000001727,
0,µm,Spine,3,1,1,100000002,610000001730,
0,µm,Spine,3,1,1,100000002,610000001733,
0.184167,µm,Spine,0,1,1,100000000,610000001735,
0,µm,Spine,3,1,1,100000002,610000001739,
0.348926,µm,Spine,6,3,1,100000002,610000001742,
0,µm,Spine,3,1,1,100000002,610000001745,
0.33641,µm,Spine,0,1,1,100000000,610000001751,
0.385646,µm,Spine,3,1,1,100000002,610000001755,
0.241151,µm,Spine,6,3,1,100000002,610000001758,
0,µm,Spine,3,1,1,100000002,610000001764,
0,µm,Spine,3,1,1,100000002,610000001766,
0,µm,Spine,6,3,1,100000002,610000001768,
0,µm,Spine,3,1,1,100000002,610000001770,
0,µm,Spine,0,1,1,100000001,610000001774,
0,µm,Spine,3,1,1,100000002,610000001776,
0,µm,Spine,0,1,1,100000001,610000001778,
0.40625,µm,Spine,1,2,1,100000000,610000001783,
0,µm,Spine,0,1,1,100000000,610000001785,
0,µm,Spine,0,1,1,100000001,610000001790,
0,µm,Spine,0,1,1,100000001,610000001792,
0,µm,Spine,0,1,1,100000000,610000001795,
0.221722,µm,Spine,0,1,1,100000000,610000001799,
0,µm,Spine,0,1,1,100000001,610000001804,
0,µm,Spine,0,1,1,100000001,610000001807,
0,µm,Spine,3,1,1,100000002,610000001810,
0,µm,Spine,3,1,1,100000002,610000001812,
0,µm,Spine,3,1,1,100000002,610000001819,
0,µm,Spine,0,1,1,100000000,610000001822,
0,µm,Spine,3,1,1,100000002,610000001826,
0,µm,Spine,3,1,1,100000002,610000001828,
0,µm,Spine,0,1,1,100000000,610000001831,
0,µm,Spine,0,1,1,100000000,610000001836,
0,µm,Spine,0,1,1,100000001,610000001840,
0,µm,Spine,3,1,1,100000002,610000001843,
0,µm,Spine,0,1,1,100000001,610000001846,
0,µm,Spine,3,1,1,100000002,610000001849,
0,µm,Spine,0,1,1,100000001,610000001852,
0,µm,Spine,0,1,1,100000001,610000001854,
0,µm,Spine,0,1,1,100000001,610000001857,
0,µm,Spine,0,1,1,100000001,610000001859,
0,µm,Spine,0,1,1,100000000,610000001862,
0,µm,Spine,0,1,1,100000001,610000001868,
0,µm,Spine,3,1,1,100000002,610000001872,
0,µm,Spine,0,1,1,100000001,610000001878,
0,µm,Spine,0,1,1,100000001,610000001881,
0,µm,Spine,0,1,1,100000001,610000001888,
0,µm,Spine,0,1,1,100000001,610000001892,
0,µm,Spine,0,1,1,100000001,610000001894,
0,µm,Spine,0,1,1,100000000,610000001897,
0,µm,Spine,0,1,1,100000001,610000001899,
0,µm,Spine,0,1,1,100000000,610000001901,
0,µm,Spine,0,1,1,100000000,610000001905,
0,µm,Spine,0,1,1,100000001,610000001910,
0,µm,Spine,0,1,1,100000000,610000001914,
0,µm,Spine,0,1,1,100000000,610000001922,
0,µm,Spine,0,1,1,100000001,610000001924,
