
Spine Position Z
 ==================== 
Spine Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1371.69,µm,Spine,Spine Position,0,1,1,100000000,610000001542,
1371.71,µm,Spine,Spine Position,0,1,1,100000000,610000001546,
1373.34,µm,Spine,Spine Position,1,2,1,100000000,610000001550,
1373.31,µm,Spine,Spine Position,1,2,1,100000000,610000001553,
1372.28,µm,Spine,Spine Position,6,3,1,100000002,610000001555,
1375.89,µm,Spine,Spine Position,6,1,1,100000000,610000001559,
1372.96,µm,Spine,Spine Position,6,2,1,100000001,610000001562,
1373.28,µm,Spine,Spine Position,3,1,1,100000002,610000001567,
1373.25,µm,Spine,Spine Position,1,2,1,100000000,610000001569,
1374.52,µm,Spine,Spine Position,3,1,1,100000002,610000001575,
1375.82,µm,Spine,Spine Position,6,1,1,100000000,610000001577,
1375.07,µm,Spine,Spine Position,3,1,1,100000002,610000001581,
1374.61,µm,Spine,Spine Position,3,1,1,100000002,610000001587,
1374.99,µm,Spine,Spine Position,3,1,1,100000002,610000001592,
1374.91,µm,Spine,Spine Position,3,1,1,100000002,610000001597,
1373.55,µm,Spine,Spine Position,5,3,1,100000002,610000001599,
1373.62,µm,Spine,Spine Position,3,1,1,100000002,610000001606,
1374.67,µm,Spine,Spine Position,3,1,1,100000002,610000001611,
1375.09,µm,Spine,Spine Position,4,2,1,100000000,610000001613,
1371.87,µm,Spine,Spine Position,0,1,1,100000000,610000001615,
1372.98,µm,Spine,Spine Position,0,1,1,100000000,610000001617,
1374.9,µm,Spine,Spine Position,4,2,1,100000000,610000001619,
1374.44,µm,Spine,Spine Position,0,1,1,100000001,610000001622,
1374.53,µm,Spine,Spine Position,0,1,1,100000001,610000001627,
1372.74,µm,Spine,Spine Position,6,3,1,100000002,610000001629,
1374.57,µm,Spine,Spine Position,5,2,1,100000000,610000001631,
1374.68,µm,Spine,Spine Position,3,1,1,100000002,610000001635,
1374.67,µm,Spine,Spine Position,3,1,1,100000002,610000001640,
1375.12,µm,Spine,Spine Position,0,1,1,100000001,610000001642,
1374.82,µm,Spine,Spine Position,3,1,1,100000002,610000001646,
1374.63,µm,Spine,Spine Position,0,1,1,100000001,610000001651,
1374.87,µm,Spine,Spine Position,3,1,1,100000002,610000001655,
1373.29,µm,Spine,Spine Position,6,2,1,100000001,610000001657,
1374.61,µm,Spine,Spine Position,0,1,1,100000001,610000001660,
1374.51,µm,Spine,Spine Position,0,1,1,100000001,610000001664,
1374.49,µm,Spine,Spine Position,0,1,1,100000001,610000001668,
1374.73,µm,Spine,Spine Position,3,1,1,100000002,610000001671,
1374.73,µm,Spine,Spine Position,3,1,1,100000002,610000001674,
1374.31,µm,Spine,Spine Position,3,1,1,100000002,610000001681,
1373.57,µm,Spine,Spine Position,0,1,1,100000002,610000001684,
1374.14,µm,Spine,Spine Position,3,1,1,100000002,610000001687,
1374.92,µm,Spine,Spine Position,3,1,1,100000002,610000001690,
1374.22,µm,Spine,Spine Position,0,1,1,100000001,610000001695,
1374.33,µm,Spine,Spine Position,0,1,1,100000001,610000001699,
1374.52,µm,Spine,Spine Position,3,1,1,100000002,610000001701,
1374.96,µm,Spine,Spine Position,3,1,1,100000002,610000001703,
1373.95,µm,Spine,Spine Position,5,2,1,100000001,610000001706,
1374.4,µm,Spine,Spine Position,0,1,1,100000001,610000001710,
1374.44,µm,Spine,Spine Position,0,1,1,100000001,610000001713,
1374.46,µm,Spine,Spine Position,3,1,1,100000002,610000001715,
1374.49,µm,Spine,Spine Position,0,1,1,100000001,610000001718,
1374.92,µm,Spine,Spine Position,3,1,1,100000002,610000001721,
1373.12,µm,Spine,Spine Position,5,3,1,100000002,610000001723,
1371.7,µm,Spine,Spine Position,1,2,1,100000001,610000001725,
1375.06,µm,Spine,Spine Position,3,1,1,100000002,610000001727,
1374.36,µm,Spine,Spine Position,3,1,1,100000002,610000001730,
1374.92,µm,Spine,Spine Position,3,1,1,100000002,610000001733,
1371.88,µm,Spine,Spine Position,0,1,1,100000000,610000001735,
1374.3,µm,Spine,Spine Position,3,1,1,100000002,610000001739,
1372.62,µm,Spine,Spine Position,6,3,1,100000002,610000001742,
