
Cumulative Volume Outside Img=1
 ==================== 
Distance to Surface,Cumulative Volume Outside,Unit,Collection,Image,Time,ID,
0.068,77.5478,µm^3,Cumulative Volume Outside,Image 1,1,,
0.204,154.599,µm^3,Cumulative Volume Outside,Image 1,1,,
0.34,236.732,µm^3,Cumulative Volume Outside,Image 1,1,,
0.476,316.551,µm^3,Cumulative Volume Outside,Image 1,1,,
0.612,398.932,µm^3,Cumulative Volume Outside,Image 1,1,,
0.748,486.838,µm^3,Cumulative Volume Outside,Image 1,1,,
0.884,573.657,µm^3,Cumulative Volume Outside,Image 1,1,,
1.02,662.062,µm^3,Cumulative Volume Outside,Image 1,1,,
1.156,752.701,µm^3,Cumulative Volume Outside,Image 1,1,,
1.292,842.569,µm^3,Cumulative Volume Outside,Image 1,1,,
1.428,932.741,µm^3,Cumulative Volume Outside,Image 1,1,,
1.564,1023.56,µm^3,Cumulative Volume Outside,Image 1,1,,
1.7,1114.45,µm^3,Cumulative Volume Outside,Image 1,1,,
1.836,1205.09,µm^3,Cumulative Volume Outside,Image 1,1,,
1.972,1295.46,µm^3,Cumulative Volume Outside,Image 1,1,,
2.108,1385.72,µm^3,Cumulative Volume Outside,Image 1,1,,
2.244,1475.65,µm^3,Cumulative Volume Outside,Image 1,1,,
2.38,1565.65,µm^3,Cumulative Volume Outside,Image 1,1,,
2.516,1655.42,µm^3,Cumulative Volume Outside,Image 1,1,,
2.652,1745.12,µm^3,Cumulative Volume Outside,Image 1,1,,
2.788,1835.15,µm^3,Cumulative Volume Outside,Image 1,1,,
2.924,1924.58,µm^3,Cumulative Volume Outside,Image 1,1,,
3.06,2013.66,µm^3,Cumulative Volume Outside,Image 1,1,,
3.196,2101.95,µm^3,Cumulative Volume Outside,Image 1,1,,
3.332,2189.22,µm^3,Cumulative Volume Outside,Image 1,1,,
3.468,2275.64,µm^3,Cumulative Volume Outside,Image 1,1,,
3.604,2361.28,µm^3,Cumulative Volume Outside,Image 1,1,,
3.74,2446.04,µm^3,Cumulative Volume Outside,Image 1,1,,
3.876,2530.33,µm^3,Cumulative Volume Outside,Image 1,1,,
4.012,2614.09,µm^3,Cumulative Volume Outside,Image 1,1,,
4.148,2697.42,µm^3,Cumulative Volume Outside,Image 1,1,,
4.284,2780.51,µm^3,Cumulative Volume Outside,Image 1,1,,
4.42,2863.04,µm^3,Cumulative Volume Outside,Image 1,1,,
4.556,2945.93,µm^3,Cumulative Volume Outside,Image 1,1,,
4.692,3029,µm^3,Cumulative Volume Outside,Image 1,1,,
4.828,3111.96,µm^3,Cumulative Volume Outside,Image 1,1,,
4.964,3194.38,µm^3,Cumulative Volume Outside,Image 1,1,,
5.1,3275.78,µm^3,Cumulative Volume Outside,Image 1,1,,
5.236,3355.91,µm^3,Cumulative Volume Outside,Image 1,1,,
5.372,3435.76,µm^3,Cumulative Volume Outside,Image 1,1,,
5.508,3515.15,µm^3,Cumulative Volume Outside,Image 1,1,,
5.644,3593.3,µm^3,Cumulative Volume Outside,Image 1,1,,
5.78,3669.71,µm^3,Cumulative Volume Outside,Image 1,1,,
5.916,3744.06,µm^3,Cumulative Volume Outside,Image 1,1,,
6.052,3817.23,µm^3,Cumulative Volume Outside,Image 1,1,,
6.188,3889.22,µm^3,Cumulative Volume Outside,Image 1,1,,
6.324,3960.09,µm^3,Cumulative Volume Outside,Image 1,1,,
6.46,4029.59,µm^3,Cumulative Volume Outside,Image 1,1,,
6.596,4097.67,µm^3,Cumulative Volume Outside,Image 1,1,,
6.732,4165.18,µm^3,Cumulative Volume Outside,Image 1,1,,
6.868,4232.1,µm^3,Cumulative Volume Outside,Image 1,1,,
7.004,4298.33,µm^3,Cumulative Volume Outside,Image 1,1,,
7.14,4363.73,µm^3,Cumulative Volume Outside,Image 1,1,,
7.276,4428.03,µm^3,Cumulative Volume Outside,Image 1,1,,
7.412,4491.23,µm^3,Cumulative Volume Outside,Image 1,1,,
7.548,4554.14,µm^3,Cumulative Volume Outside,Image 1,1,,
7.684,4616.63,µm^3,Cumulative Volume Outside,Image 1,1,,
7.82,4678.56,µm^3,Cumulative Volume Outside,Image 1,1,,
7.956,4739.67,µm^3,Cumulative Volume Outside,Image 1,1,,
8.092,4799.34,µm^3,Cumulative Volume Outside,Image 1,1,,
8.228,4858.25,µm^3,Cumulative Volume Outside,Image 1,1,,
8.364,4917.3,µm^3,Cumulative Volume Outside,Image 1,1,,
8.5,4975.58,µm^3,Cumulative Volume Outside,Image 1,1,,
8.636,5033.41,µm^3,Cumulative Volume Outside,Image 1,1,,
8.772,5090,µm^3,Cumulative Volume Outside,Image 1,1,,
8.908,5145.94,µm^3,Cumulative Volume Outside,Image 1,1,,
9.044,5201.93,µm^3,Cumulative Volume Outside,Image 1,1,,
9.18,5257.07,µm^3,Cumulative Volume Outside,Image 1,1,,
9.316,5311.88,µm^3,Cumulative Volume Outside,Image 1,1,,
9.452,5365.33,µm^3,Cumulative Volume Outside,Image 1,1,,
9.588,5417.77,µm^3,Cumulative Volume Outside,Image 1,1,,
9.724,5469.58,µm^3,Cumulative Volume Outside,Image 1,1,,
9.86,5519.8,µm^3,Cumulative Volume Outside,Image 1,1,,
9.996,5568.96,µm^3,Cumulative Volume Outside,Image 1,1,,
10.132,5616.37,µm^3,Cumulative Volume Outside,Image 1,1,,
10.268,5662.45,µm^3,Cumulative Volume Outside,Image 1,1,,
10.404,5706.52,µm^3,Cumulative Volume Outside,Image 1,1,,
10.54,5749.32,µm^3,Cumulative Volume Outside,Image 1,1,,
10.676,5791.51,µm^3,Cumulative Volume Outside,Image 1,1,,
10.812,5832.5,µm^3,Cumulative Volume Outside,Image 1,1,,
10.948,5872.8,µm^3,Cumulative Volume Outside,Image 1,1,,
11.084,5911.9,µm^3,Cumulative Volume Outside,Image 1,1,,
11.22,5950.39,µm^3,Cumulative Volume Outside,Image 1,1,,
11.356,5988.9,µm^3,Cumulative Volume Outside,Image 1,1,,
11.492,6026.93,µm^3,Cumulative Volume Outside,Image 1,1,,
11.628,6064.94,µm^3,Cumulative Volume Outside,Image 1,1,,
11.764,6102.42,µm^3,Cumulative Volume Outside,Image 1,1,,
11.9,6139.86,µm^3,Cumulative Volume Outside,Image 1,1,,
12.036,6177.73,µm^3,Cumulative Volume Outside,Image 1,1,,
12.172,6215.33,µm^3,Cumulative Volume Outside,Image 1,1,,
12.308,6253.05,µm^3,Cumulative Volume Outside,Image 1,1,,
12.444,6290.29,µm^3,Cumulative Volume Outside,Image 1,1,,
12.58,6327.6,µm^3,Cumulative Volume Outside,Image 1,1,,
12.716,6365.23,µm^3,Cumulative Volume Outside,Image 1,1,,
12.852,6402.62,µm^3,Cumulative Volume Outside,Image 1,1,,
12.988,6440.08,µm^3,Cumulative Volume Outside,Image 1,1,,
13.124,6477.08,µm^3,Cumulative Volume Outside,Image 1,1,,
13.26,6514.07,µm^3,Cumulative Volume Outside,Image 1,1,,
13.396,6551.43,µm^3,Cumulative Volume Outside,Image 1,1,,
13.532,6588.57,µm^3,Cumulative Volume Outside,Image 1,1,,
13.668,6625.92,µm^3,Cumulative Volume Outside,Image 1,1,,
13.804,6662.97,µm^3,Cumulative Volume Outside,Image 1,1,,
13.94,6700.05,µm^3,Cumulative Volume Outside,Image 1,1,,
14.076,6736.61,µm^3,Cumulative Volume Outside,Image 1,1,,
14.212,6773.08,µm^3,Cumulative Volume Outside,Image 1,1,,
14.348,6809.95,µm^3,Cumulative Volume Outside,Image 1,1,,
14.484,6846.59,µm^3,Cumulative Volume Outside,Image 1,1,,
14.62,6883.26,µm^3,Cumulative Volume Outside,Image 1,1,,
14.756,6919.45,µm^3,Cumulative Volume Outside,Image 1,1,,
14.892,6955.58,µm^3,Cumulative Volume Outside,Image 1,1,,
15.028,6992.1,µm^3,Cumulative Volume Outside,Image 1,1,,
15.164,7028.44,µm^3,Cumulative Volume Outside,Image 1,1,,
15.3,7064.85,µm^3,Cumulative Volume Outside,Image 1,1,,
15.436,7100.72,µm^3,Cumulative Volume Outside,Image 1,1,,
15.572,7136.51,µm^3,Cumulative Volume Outside,Image 1,1,,
15.708,7172.72,µm^3,Cumulative Volume Outside,Image 1,1,,
15.844,7208.82,µm^3,Cumulative Volume Outside,Image 1,1,,
15.98,7245.11,µm^3,Cumulative Volume Outside,Image 1,1,,
16.116,7280.51,µm^3,Cumulative Volume Outside,Image 1,1,,
16.252,7316.4,µm^3,Cumulative Volume Outside,Image 1,1,,
16.388,7352.18,µm^3,Cumulative Volume Outside,Image 1,1,,
16.524,7387.13,µm^3,Cumulative Volume Outside,Image 1,1,,
16.66,7422.79,µm^3,Cumulative Volume Outside,Image 1,1,,
16.796,7458.42,µm^3,Cumulative Volume Outside,Image 1,1,,
