
Volume Inside Img=1
 ==================== 
Distance to Surface,Volume Inside,Unit,Collection,Image,Time,ID,
-1.428,1.05651,µm^3,Volume Inside,Image 1,1,,
-1.292,3.32306,µm^3,Volume Inside,Image 1,1,,
-1.156,7.67979,µm^3,Volume Inside,Image 1,1,,
-1.02,13.5963,µm^3,Volume Inside,Image 1,1,,
-0.884,21.2321,µm^3,Volume Inside,Image 1,1,,
-0.748,29.8885,µm^3,Volume Inside,Image 1,1,,
-0.612,36.3984,µm^3,Volume Inside,Image 1,1,,
-0.476,44.8217,µm^3,Volume Inside,Image 1,1,,
-0.34,53.6422,µm^3,Volume Inside,Image 1,1,,
-0.204,58.3068,µm^3,Volume Inside,Image 1,1,,
-0.068,66.4159,µm^3,Volume Inside,Image 1,1,,
