
Spine Position Y
 ==================== 
Spine Position Y,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
21745.3,µm,Spine,Spine Position,0,1,1,100000000,610000001542,
21745.2,µm,Spine,Spine Position,0,1,1,100000000,610000001546,
21740.3,µm,Spine,Spine Position,1,2,1,100000000,610000001550,
21740.4,µm,Spine,Spine Position,1,2,1,100000000,610000001553,
21725.2,µm,Spine,Spine Position,6,3,1,100000002,610000001555,
21736.4,µm,Spine,Spine Position,6,1,1,100000000,610000001559,
21731.5,µm,Spine,Spine Position,6,2,1,100000001,610000001562,
21718.4,µm,Spine,Spine Position,3,1,1,100000002,610000001567,
21740.5,µm,Spine,Spine Position,1,2,1,100000000,610000001569,
21716,µm,Spine,Spine Position,3,1,1,100000002,610000001575,
21736.5,µm,Spine,Spine Position,6,1,1,100000000,610000001577,
21715.6,µm,Spine,Spine Position,3,1,1,100000002,610000001581,
21718.9,µm,Spine,Spine Position,3,1,1,100000002,610000001587,
21715.5,µm,Spine,Spine Position,3,1,1,100000002,610000001592,
21717.4,µm,Spine,Spine Position,3,1,1,100000002,610000001597,
21724.1,µm,Spine,Spine Position,5,3,1,100000002,610000001599,
21715.5,µm,Spine,Spine Position,3,1,1,100000002,610000001606,
21715.8,µm,Spine,Spine Position,3,1,1,100000002,610000001611,
21740.1,µm,Spine,Spine Position,4,2,1,100000000,610000001613,
21744.6,µm,Spine,Spine Position,0,1,1,100000000,610000001615,
21744.1,µm,Spine,Spine Position,0,1,1,100000000,610000001617,
21739.6,µm,Spine,Spine Position,4,2,1,100000000,610000001619,
21722.8,µm,Spine,Spine Position,0,1,1,100000001,610000001622,
21722.4,µm,Spine,Spine Position,0,1,1,100000001,610000001627,
21724.9,µm,Spine,Spine Position,6,3,1,100000002,610000001629,
21737.2,µm,Spine,Spine Position,5,2,1,100000000,610000001631,
21719,µm,Spine,Spine Position,3,1,1,100000002,610000001635,
21715.5,µm,Spine,Spine Position,3,1,1,100000002,610000001640,
21720.6,µm,Spine,Spine Position,0,1,1,100000001,610000001642,
21715.9,µm,Spine,Spine Position,3,1,1,100000002,610000001646,
21722.6,µm,Spine,Spine Position,0,1,1,100000001,610000001651,
21718,µm,Spine,Spine Position,3,1,1,100000002,610000001655,
