
Soma BoundingBoxOO Length B
 ==================== 
Soma BoundingBoxOO Length B,Unit,Category,Collection,Time,FilamentID,ID,
2.26562,µm,Soma,Soma BoundingBoxOO Length,1,100000000,800000000,
2.43066,µm,Soma,Soma BoundingBoxOO Length,1,100000001,800000001,
2.13354,µm,Soma,Soma BoundingBoxOO Length,1,100000002,800000002,
