
Spine Length
 ==================== 
Spine Length,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.193586,µm,Spine,0,1,1,100000000,610000001932,
0.224918,µm,Spine,6,1,1,100000000,610000001942,
0.348596,µm,Spine,6,2,1,100000000,610000001943,
0.322358,µm,Spine,5,2,1,100000000,610000001944,
0.269547,µm,Spine,4,1,1,100000000,610000001945,
0.251755,µm,Spine,4,2,1,100000000,610000001946,
0.31448,µm,Spine,4,2,1,100000000,610000001947,
0.194035,µm,Spine,1,2,1,100000000,610000001948,
0.348535,µm,Spine,1,2,1,100000000,610000001949,
0.309454,µm,Spine,1,2,1,100000000,610000001950,
0.220508,µm,Spine,0,1,1,100000000,610000001956,
0.25667,µm,Spine,0,1,1,100000000,610000001957,
0.197902,µm,Spine,0,1,1,100000000,610000001958,
0.249933,µm,Spine,0,1,1,100000000,610000001959,
0.239427,µm,Spine,0,1,1,100000000,610000001960,
0.20962,µm,Spine,6,2,1,100000001,610000001964,
0.265938,µm,Spine,5,2,1,100000001,610000001965,
0.241623,µm,Spine,5,2,1,100000001,610000001966,
0.24745,µm,Spine,5,2,1,100000001,610000001967,
0.25863,µm,Spine,5,1,1,100000001,610000001968,
0.184825,µm,Spine,3,2,1,100000001,610000001969,
0.280238,µm,Spine,0,1,1,100000001,610000001970,
0.2611,µm,Spine,0,1,1,100000001,610000001971,
0.310238,µm,Spine,0,1,1,100000001,610000001977,
0.436181,µm,Spine,0,1,1,100000001,610000001978,
0.273692,µm,Spine,0,1,1,100000001,610000001979,
0.244922,µm,Spine,0,1,1,100000001,610000001980,
0.189307,µm,Spine,0,1,1,100000001,610000001981,
0.21839,µm,Spine,1,2,1,100000001,610000001982,
0.160726,µm,Spine,1,2,1,100000001,610000001983,
0.202522,µm,Spine,2,1,1,100000001,610000001984,
0.2903,µm,Spine,0,1,1,100000001,610000001985,
0.220439,µm,Spine,6,3,1,100000002,610000001986,
0.228603,µm,Spine,6,3,1,100000002,610000001987,
