
Segment Spine Density
 ==================== 
Segment Spine Density,Unit,Category,Depth,Level,Time,FilamentID,ID,
4.78139,1/10µm,Segment,3,3,1,100000003,510000003696,
1.34061,1/10µm,Segment,3,3,1,100000001,510000003726,
0,1/10µm,Segment,3,3,1,100000001,510000003735,
1.89265,1/10µm,Segment,6,3,1,100000000,510000003800,
1.23327,1/10µm,Segment,5,2,1,100000000,510000003869,
4.019,1/10µm,Segment,4,1,1,100000000,510000003900,
3.42785,1/10µm,Segment,3,1,1,100000000,510000003911,
3.14476,1/10µm,Segment,2,1,1,100000000,510000003929,
0,1/10µm,Segment,2,3,1,100000003,510000003935,
0,1/10µm,Segment,1,2,1,100000003,510000003947,
3.43651,1/10µm,Segment,0,1,1,100000003,510000004032,
0,1/10µm,Segment,2,2,1,100000003,510000004050,
0,1/10µm,Segment,6,1,1,100000001,510000004058,
16.1968,1/10µm,Segment,1,1,1,100000003,510000004062,
0,1/10µm,Segment,7,3,1,100000000,510000004101,
9.81469,1/10µm,Segment,6,2,1,100000000,510000004116,
0.777733,1/10µm,Segment,1,1,1,100000000,510000004176,
0,1/10µm,Segment,0,1,1,100000000,510000004199,
0,1/10µm,Segment,7,2,1,100000000,510000004248,
0,1/10µm,Segment,1,2,1,100000001,510000004296,
4.05273,1/10µm,Segment,10,6,1,100000000,510000004347,
1.36362,1/10µm,Segment,9,5,1,100000000,510000004378,
0,1/10µm,Segment,4,2,1,100000002,510000004404,
0,1/10µm,Segment,4,3,1,100000002,510000004420,
0.898933,1/10µm,Segment,1,2,1,100000003,510000004511,
3.38971,1/10µm,Segment,0,1,1,100000003,510000004549,
0,1/10µm,Segment,14,8,1,100000000,510000004557,
2.79619,1/10µm,Segment,13,7,1,100000000,510000004570,
0,1/10µm,Segment,12,6,1,100000000,510000004589,
0,1/10µm,Segment,11,6,1,100000000,510000004621,
0,1/10µm,Segment,13,6,1,100000000,510000004642,
0.928953,1/10µm,Segment,0,1,1,100000003,510000004691,
0,1/10µm,Segment,3,3,1,100000002,510000004699,
0,1/10µm,Segment,11,6,1,100000000,510000004721,
3.80551,1/10µm,Segment,10,5,1,100000000,510000004756,
2.22955,1/10µm,Segment,9,4,1,100000000,510000004770,
0,1/10µm,Segment,1,2,1,100000001,510000004823,
0,1/10µm,Segment,0,1,1,100000001,510000004837,
2.35092,1/10µm,Segment,12,4,1,100000000,510000004853,
0,1/10µm,Segment,4,2,1,100000000,510000004917,
0,1/10µm,Segment,2,2,1,100000001,510000004929,
1.9734,1/10µm,Segment,2,3,1,100000002,510000004967,
0,1/10µm,Segment,1,2,1,100000002,510000004994,
0,1/10µm,Segment,12,7,1,100000000,510000005001,
4.06805,1/10µm,Segment,2,2,1,100000002,510000005011,
0,1/10µm,Segment,4,2,1,100000001,510000005032,
0.51312,1/10µm,Segment,5,1,1,100000002,510000005110,
2.68451,1/10µm,Segment,1,2,1,100000000,510000005202,
0,1/10µm,Segment,0,1,1,100000000,510000005223,
0,1/10µm,Segment,1,1,1,100000001,510000005225,
0,1/10µm,Segment,13,5,1,100000000,510000005228,
2.41814,1/10µm,Segment,12,6,1,100000000,510000005241,
0,1/10µm,Segment,1,2,1,100000000,510000005248,
0,1/10µm,Segment,11,5,1,100000000,510000005254,
0.960592,1/10µm,Segment,1,1,1,100000002,510000005293,
0,1/10µm,Segment,2,2,1,100000001,510000005302,
0,1/10µm,Segment,10,5,1,100000000,510000005320,
0,1/10µm,Segment,10,4,1,100000000,510000005322,
