
Segment No. Spines
 ==================== 
Segment No. Spines,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,,Segment,3,3,1,100000002,510000000148,
0,,Segment,2,2,1,100000002,510000000163,
6,,Segment,1,1,1,100000002,510000000196,
1,,Segment,0,1,1,100000002,510000000247,
0,,Segment,4,2,1,100000001,510000000361,
0,,Segment,3,1,1,100000001,510000000376,
3,,Segment,2,1,1,100000001,510000000411,
1,,Segment,1,1,1,100000001,510000000460,
0,,Segment,0,1,1,100000001,510000000489,
3,,Segment,13,5,1,100000000,510000000691,
0,,Segment,12,4,1,100000000,510000000694,
0,,Segment,11,3,1,100000000,510000000721,
0,,Segment,10,3,1,100000000,510000000747,
1,,Segment,9,3,1,100000000,510000000763,
1,,Segment,8,3,1,100000000,510000000765,
2,,Segment,7,3,1,100000000,510000000776,
0,,Segment,6,2,1,100000000,510000000781,
0,,Segment,5,2,1,100000000,510000000784,
0,,Segment,4,2,1,100000000,510000000792,
0,,Segment,3,2,1,100000000,510000000798,
5,,Segment,1,1,1,100000000,510000000811,
0,,Segment,5,3,1,100000002,510000000907,
2,,Segment,4,2,1,100000002,510000000995,
2,,Segment,3,1,1,100000002,510000001022,
2,,Segment,2,1,1,100000002,510000001050,
0,,Segment,1,1,1,100000002,510000001057,
0,,Segment,0,1,1,100000002,510000001079,
1,,Segment,14,6,1,100000000,510000001110,
2,,Segment,13,6,1,100000000,510000001149,
2,,Segment,12,5,1,100000000,510000001177,
0,,Segment,11,5,1,100000000,510000001194,
5,,Segment,10,5,1,100000000,510000001215,
1,,Segment,9,4,1,100000000,510000001226,
0,,Segment,8,4,1,100000000,510000001250,
0,,Segment,7,3,1,100000000,510000001255,
0,,Segment,6,3,1,100000000,510000001268,
0,,Segment,14,7,1,100000000,510000001272,
2,,Segment,7,3,1,100000001,510000001296,
2,,Segment,6,3,1,100000001,510000001344,
0,,Segment,5,2,1,100000001,510000001416,
0,,Segment,4,1,1,100000001,510000001442,
0,,Segment,3,1,1,100000001,510000001454,
0,,Segment,2,1,1,100000001,510000001465,
12,,Segment,1,1,1,100000001,510000001506,
0,,Segment,0,1,1,100000001,510000001510,
1,,Segment,6,3,1,100000002,510000001527,
1,,Segment,5,2,1,100000002,510000001541,
0,,Segment,4,5,1,100000001,510000001613,
1,,Segment,3,4,1,100000001,510000001684,
2,,Segment,2,3,1,100000001,510000001707,
0,,Segment,1,2,1,100000001,510000001765,
2,,Segment,0,1,1,100000001,510000001810,
0,,Segment,2,3,1,100000000,510000001850,
1,,Segment,1,2,1,100000000,510000001859,
3,,Segment,0,1,1,100000000,510000001894,
0,,Segment,5,5,1,100000001,510000001948,
0,,Segment,4,4,1,100000001,510000001956,
2,,Segment,6,5,1,100000002,510000001980,
0,,Segment,5,4,1,100000002,510000002011,
3,,Segment,4,4,1,100000002,510000002054,
3,,Segment,3,4,1,100000002,510000002111,
0,,Segment,2,3,1,100000002,510000002136,
0,,Segment,1,2,1,100000002,510000002152,
0,,Segment,0,1,1,100000002,510000002192,
0,,Segment,5,5,1,100000002,510000002227,
0,,Segment,6,4,1,100000002,510000002230,
0,,Segment,5,2,1,100000002,510000002241,
3,,Segment,4,1,1,100000002,510000002275,
0,,Segment,1,2,1,100000000,510000002309,
0,,Segment,0,1,1,100000000,510000002316,
0,,Segment,4,5,1,100000002,510000002391,
0,,Segment,1,2,1,100000002,510000002426,
0,,Segment,6,2,1,100000002,510000002431,
0,,Segment,7,2,1,100000001,510000002452,
0,,Segment,6,2,1,100000001,510000002488,
1,,Segment,7,4,1,100000001,510000002513,
1,,Segment,12,5,1,100000000,510000002539,
1,,Segment,11,4,1,100000000,510000002572,
5,,Segment,7,3,1,100000001,510000002638,
2,,Segment,6,2,1,100000001,510000002652,
0,,Segment,5,1,1,100000001,510000002746,
4,,Segment,7,2,1,100000001,510000002837,
0,,Segment,7,3,1,100000001,510000002851,
0,,Segment,3,2,1,100000001,510000002890,
2,,Segment,6,4,1,100000001,510000002906,
0,,Segment,5,3,1,100000001,510000002946,
0,,Segment,4,2,1,100000001,510000002963,
0,,Segment,2,2,1,100000001,510000002980,
0,,Segment,6,3,1,100000001,510000002985,
4,,Segment,3,2,1,100000003,510000003041,
0,,Segment,2,2,1,100000003,510000003051,
0,,Segment,1,2,1,100000003,510000003073,
3,,Segment,0,1,1,100000003,510000003188,
1,,Segment,2,2,1,100000003,510000003252,
0,,Segment,1,1,1,100000003,510000003273,
0,,Segment,3,2,1,100000003,510000003311,
0,,Segment,2,1,1,100000003,510000003343,
2,,Segment,3,1,1,100000003,510000003383,
1,,Segment,11,4,1,100000000,510000003405,
0,,Segment,10,4,1,100000000,510000003413,
0,,Segment,4,1,1,100000001,510000003438,
0,,Segment,4,3,1,100000001,510000003459,
8,,Segment,2,2,1,100000000,510000003570,
0,,Segment,1,1,1,100000000,510000003572,
9,,Segment,0,1,1,100000000,510000003590,
0,,Segment,6,3,1,100000001,510000003616,
1,,Segment,2,3,1,100000003,510000003652,
5,,Segment,3,3,1,100000003,510000003696,
1,,Segment,3,3,1,100000001,510000003726,
0,,Segment,3,3,1,100000001,510000003735,
3,,Segment,6,3,1,100000000,510000003800,
2,,Segment,5,2,1,100000000,510000003869,
3,,Segment,4,1,1,100000000,510000003900,
1,,Segment,3,1,1,100000000,510000003911,
2,,Segment,2,1,1,100000000,510000003929,
0,,Segment,2,3,1,100000003,510000003935,
0,,Segment,1,2,1,100000003,510000003947,
7,,Segment,0,1,1,100000003,510000004032,
0,,Segment,2,2,1,100000003,510000004050,
0,,Segment,6,1,1,100000001,510000004058,
2,,Segment,1,1,1,100000003,510000004062,
0,,Segment,7,3,1,100000000,510000004101,
4,,Segment,6,2,1,100000000,510000004116,
1,,Segment,1,1,1,100000000,510000004176,
0,,Segment,0,1,1,100000000,510000004199,
0,,Segment,7,2,1,100000000,510000004248,
0,,Segment,1,2,1,100000001,510000004296,
5,,Segment,10,6,1,100000000,510000004347,
1,,Segment,9,5,1,100000000,510000004378,
0,,Segment,4,2,1,100000002,510000004404,
0,,Segment,4,3,1,100000002,510000004420,
2,,Segment,1,2,1,100000003,510000004511,
3,,Segment,0,1,1,100000003,510000004549,
0,,Segment,14,8,1,100000000,510000004557,
1,,Segment,13,7,1,100000000,510000004570,
0,,Segment,12,6,1,100000000,510000004589,
0,,Segment,11,6,1,100000000,510000004621,
0,,Segment,13,6,1,100000000,510000004642,
1,,Segment,0,1,1,100000003,510000004691,
0,,Segment,3,3,1,100000002,510000004699,
0,,Segment,11,6,1,100000000,510000004721,
3,,Segment,10,5,1,100000000,510000004756,
1,,Segment,9,4,1,100000000,510000004770,
0,,Segment,1,2,1,100000001,510000004823,
0,,Segment,0,1,1,100000001,510000004837,
1,,Segment,12,4,1,100000000,510000004853,
0,,Segment,4,2,1,100000000,510000004917,
0,,Segment,2,2,1,100000001,510000004929,
2,,Segment,2,3,1,100000002,510000004967,
0,,Segment,1,2,1,100000002,510000004994,
0,,Segment,12,7,1,100000000,510000005001,
1,,Segment,2,2,1,100000002,510000005011,
0,,Segment,4,2,1,100000001,510000005032,
1,,Segment,5,1,1,100000002,510000005110,
5,,Segment,1,2,1,100000000,510000005202,
0,,Segment,0,1,1,100000000,510000005223,
0,,Segment,1,1,1,100000001,510000005225,
0,,Segment,13,5,1,100000000,510000005228,
1,,Segment,12,6,1,100000000,510000005241,
0,,Segment,1,2,1,100000000,510000005248,
0,,Segment,11,5,1,100000000,510000005254,
1,,Segment,1,1,1,100000002,510000005293,
0,,Segment,2,2,1,100000001,510000005302,
0,,Segment,10,5,1,100000000,510000005320,
0,,Segment,10,4,1,100000000,510000005322,
0,,Segment,15,5,1,100000000,510000005348,
0,,Segment,14,4,1,100000000,510000005352,
2,,Segment,13,4,1,100000000,510000005381,
0,,Segment,16,5,1,100000000,510000005389,
0,,Segment,15,4,1,100000000,510000005397,
0,,Segment,16,4,1,100000000,510000005405,
0,,Segment,14,5,1,100000000,510000005413,
0,,Segment,11,4,1,100000000,510000005420,
0,,Segment,9,3,1,100000000,510000005439,
0,,Segment,8,3,1,100000000,510000005472,
0,,Segment,11,3,1,100000000,510000005477,
0,,Segment,10,4,1,100000000,510000005483,
1,,Segment,9,4,1,100000000,510000005497,
4,,Segment,1,2,1,100000000,510000005527,
4,,Segment,0,1,1,100000000,510000005553,
0,,Segment,6,3,1,100000000,510000005593,
1,,Segment,3,2,1,100000001,510000005597,
2,,Segment,1,1,1,100000000,510000005652,
1,,Segment,0,1,1,100000000,510000005666,
0,,Segment,2,2,1,100000000,510000005674,
0,,Segment,3,3,1,100000000,510000005693,
1,,Segment,1,2,1,100000000,510000005709,
1,,Segment,1,1,1,100000002,510000005725,
0,,Segment,0,1,1,100000002,510000005740,
0,,Segment,1,1,1,100000000,510000005742,
0,,Segment,11,5,1,100000000,510000005759,
0,,Segment,10,4,1,100000000,510000005778,
0,,Segment,1,1,1,100000001,510000005784,
0,,Segment,1,2,1,100000002,510000005787,
8,,Segment,6,1,1,100000000,510000005813,
0,,Segment,5,1,1,100000000,510000005831,
0,,Segment,6,2,1,100000000,510000005840,
0,,Segment,3,2,1,100000000,510000005845,
4,,Segment,1,2,1,100000000,510000005851,
0,,Segment,12,3,1,100000000,510000005857,
0,,Segment,11,4,1,100000000,510000005880,
0,,Segment,11,5,1,100000000,510000005896,
1,,Segment,3,2,1,100000000,510000005916,
0,,Segment,2,1,1,100000000,510000005922,
0,,Segment,1,1,1,100000000,510000005926,
0,,Segment,2,2,1,100000000,510000005936,
0,,Segment,2,1,1,100000002,510000005943,
0,,Segment,3,1,1,100000000,510000005947,
1,,Segment,2,2,1,100000002,510000005956,
0,,Segment,3,2,1,100000000,510000005972,
2,,Segment,2,1,1,100000000,510000005978,
0,,Segment,8,4,1,100000000,510000005980,
0,,Segment,7,4,1,100000000,510000005982,
0,,Segment,7,2,1,100000000,510000005984,
0,,Segment,5,3,1,100000000,510000005995,
1,,Segment,1,1,1,100000003,510000006013,
0,,Segment,4,2,1,100000000,510000006016,
1,,Segment,3,1,1,100000000,510000006027,
1,,Segment,4,1,1,100000000,510000006029,
3,,Segment,1,1,1,100000003,510000006079,
0,,Segment,0,1,1,100000003,510000006106,
2,,Segment,3,1,1,100000003,510000006160,
0,,Segment,2,1,1,100000003,510000006180,
0,,Segment,1,1,1,100000003,510000006192,
0,,Segment,0,1,1,100000003,510000006201,
1,,Segment,0,1,1,100000002,510000006229,
1,,Segment,3,2,1,100000003,510000006258,
0,,Segment,3,2,1,100000002,510000006260,
0,,Segment,4,3,1,100000000,510000006264,
0,,Segment,2,2,1,100000000,510000006266,
0,,Segment,1,2,1,100000003,510000006274,
0,,Segment,0,1,1,100000001,510000006306,
0,,Segment,1,1,1,100000000,510000006359,
0,,Segment,2,2,1,100000002,510000006369,
0,,Segment,2,2,1,100000003,510000006388,
0,,Segment,1,1,1,100000000,510000006393,
0,,Segment,0,1,1,100000003,510000006429,
