
Soma Center of Image Mass Y
 ==================== 
Soma Center of Image Mass Y,Unit,Category,Channel,Collection,Image,Time,FilamentID,ID,
18125.3,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000000,800000000,
18125.3,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000000,800000000,
18125.3,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000000,800000000,
18125.3,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000000,800000000,
18166.1,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000001,800000001,
18165.1,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000001,800000001,
18166.1,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000001,800000001,
18165.1,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000001,800000001,
18111.5,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000002,800000002,
18111.4,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000002,800000002,
18111.5,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000002,800000002,
18111.4,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000002,800000002,
18193.5,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000003,800000003,
18194,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000003,800000003,
18193.5,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000003,800000003,
18194,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000003,800000003,
