
Segment Center Intensity StdDev Ch=1 Img=1
 ==================== 
Segment Center Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
24.8713,,Segment,1,3,Image 1,3,1,100000002,510000000148,
45.1205,,Segment,1,2,Image 1,2,1,100000002,510000000163,
23.5127,,Segment,1,1,Image 1,1,1,100000002,510000000196,
27.7105,,Segment,1,0,Image 1,1,1,100000002,510000000247,
25.6122,,Segment,1,4,Image 1,2,1,100000001,510000000361,
24.8978,,Segment,1,3,Image 1,1,1,100000001,510000000376,
31.6809,,Segment,1,2,Image 1,1,1,100000001,510000000411,
24.4592,,Segment,1,1,Image 1,1,1,100000001,510000000460,
14.4733,,Segment,1,0,Image 1,1,1,100000001,510000000489,
40.0795,,Segment,1,13,Image 1,5,1,100000000,510000000691,
8.27647,,Segment,1,12,Image 1,4,1,100000000,510000000694,
18.2913,,Segment,1,11,Image 1,3,1,100000000,510000000721,
16.5805,,Segment,1,10,Image 1,3,1,100000000,510000000747,
15.8147,,Segment,1,9,Image 1,3,1,100000000,510000000763,
4.54606,,Segment,1,8,Image 1,3,1,100000000,510000000765,
24.3681,,Segment,1,7,Image 1,3,1,100000000,510000000776,
15.7056,,Segment,1,6,Image 1,2,1,100000000,510000000781,
6.34429,,Segment,1,5,Image 1,2,1,100000000,510000000784,
33.2168,,Segment,1,4,Image 1,2,1,100000000,510000000792,
29.0713,,Segment,1,3,Image 1,2,1,100000000,510000000798,
32.8833,,Segment,1,1,Image 1,1,1,100000000,510000000811,
39.5292,,Segment,1,5,Image 1,3,1,100000002,510000000907,
46.0232,,Segment,1,4,Image 1,2,1,100000002,510000000995,
32.3823,,Segment,1,3,Image 1,1,1,100000002,510000001022,
27.6474,,Segment,1,2,Image 1,1,1,100000002,510000001050,
12.9615,,Segment,1,1,Image 1,1,1,100000002,510000001057,
12.1138,,Segment,1,0,Image 1,1,1,100000002,510000001079,
26.6208,,Segment,1,14,Image 1,6,1,100000000,510000001110,
39.1344,,Segment,1,13,Image 1,6,1,100000000,510000001149,
35.7051,,Segment,1,12,Image 1,5,1,100000000,510000001177,
45.3708,,Segment,1,11,Image 1,5,1,100000000,510000001194,
20.5882,,Segment,1,10,Image 1,5,1,100000000,510000001215,
32.9085,,Segment,1,9,Image 1,4,1,100000000,510000001226,
35.8393,,Segment,1,8,Image 1,4,1,100000000,510000001250,
32.1956,,Segment,1,7,Image 1,3,1,100000000,510000001255,
30.6983,,Segment,1,6,Image 1,3,1,100000000,510000001268,
21.5741,,Segment,1,14,Image 1,7,1,100000000,510000001272,
43.3123,,Segment,1,7,Image 1,3,1,100000001,510000001296,
36.2328,,Segment,1,6,Image 1,3,1,100000001,510000001344,
24.6517,,Segment,1,5,Image 1,2,1,100000001,510000001416,
36.9896,,Segment,1,4,Image 1,1,1,100000001,510000001442,
