
Soma Intensity Min Ch=1 Img=1
 ==================== 
Soma Intensity Min,Unit,Category,Channel,Image,Time,FilamentID,ID,
5,,Soma,1,Image 1,1,100000000,800000000,
8,,Soma,1,Image 1,1,100000001,800000001,
4,,Soma,1,Image 1,1,100000002,800000002,
3,,Soma,1,Image 1,1,100000003,800000003,
