
Spine Attachment Pt Position
 ==================== 
Spine Attachment Pt Position X,Spine Attachment Pt Position Y,Spine Attachment Pt Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1249.94,18189.2,1461.08,µm,Spine,Spine Attachment Pt Position,0,1,1,100000003,610000007614,
1184.33,18158.2,1457.23,µm,Spine,Spine Attachment Pt Position,0,1,1,100000001,610000007667,
1265.36,18182.3,1475.82,µm,Spine,Spine Attachment Pt Position,0,1,1,100000003,610000007784,
1262.11,18187.1,1469.48,µm,Spine,Spine Attachment Pt Position,0,1,1,100000003,610000007883,
1232.97,18120.5,1463.47,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000008007,
1263.1,18184.2,1468.59,µm,Spine,Spine Attachment Pt Position,0,1,1,100000003,610000008024,
1184.87,18109.8,1465.07,µm,Spine,Spine Attachment Pt Position,0,1,1,100000002,610000008027,
1240.35,18123.9,1462.8,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000008063,
1232.62,18120.9,1464.2,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000008105,
1232.61,18121,1464.44,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000008109,
1257.24,18191.9,1468.55,µm,Spine,Spine Attachment Pt Position,0,1,1,100000003,610000008128,
1255.36,18190.9,1476.63,µm,Spine,Spine Attachment Pt Position,0,1,1,100000003,610000008163,
1229.3,18125.1,1467.06,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000008265,
1233.89,18122.6,1460.01,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000008321,
1229.76,18125.1,1466.35,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000008356,
1264.24,18179.7,1471.92,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000008474,
1262.5,18196,1476.72,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000008485,
1237,18124.7,1470.3,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000008488,
1236.66,18124.3,1470.54,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000008489,
1236.68,18124.2,1470.59,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000008490,
1242.78,18125.3,1462.48,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000008503,
1242.15,18124.6,1462.5,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000008504,
1240.71,18123.9,1462.78,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000008505,
1232.39,18124.5,1458.93,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000008513,
1228.08,18122.3,1469.76,µm,Spine,Spine Attachment Pt Position,1,1,1,100000000,610000007729,
1186.77,18105,1459.91,µm,Spine,Spine Attachment Pt Position,1,1,1,100000002,610000007911,
1207.22,18174.7,1464.89,µm,Spine,Spine Attachment Pt Position,1,1,1,100000001,610000007969,
1227.97,18124,1468.67,µm,Spine,Spine Attachment Pt Position,1,1,1,100000000,610000008072,
1186.3,18103.5,1459.79,µm,Spine,Spine Attachment Pt Position,1,1,1,100000002,610000008120,
1185.46,18102,1460.39,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000008477,
1266.46,18184.7,1464.8,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000008479,
1192.28,18173.8,1461.52,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000008480,
1245.92,18193.1,1460.02,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000008481,
1176.17,18103.9,1461.64,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000008482,
1185.77,18113.9,1466.34,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000008488,
1238.98,18138.1,1456.84,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000008506,
1231.52,18127.6,1457.39,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000008514,
1227.55,18134.8,1456.59,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000008515,
1237.23,18128.3,1474.61,µm,Spine,Spine Attachment Pt Position,1,2,1,100000000,610000007775,
1243.44,18125,1462.85,µm,Spine,Spine Attachment Pt Position,1,2,1,100000000,610000008042,
1257.03,18181.6,1456.77,µm,Spine,Spine Attachment Pt Position,1,2,1,100000003,610000008181,
1226.28,18126.8,1467.75,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000008474,
1257.29,18181.1,1457.53,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000008478,
1239.61,18123,1471.83,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000008491,
1238.18,18132.4,1474.43,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000008507,
1238.18,18139.7,1475.05,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000008508,
1232.74,18121.4,1465.17,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000008510,
1235.24,18120.3,1469.74,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000008512,
1219,18124.1,1462.38,µm,Spine,Spine Attachment Pt Position,10,5,1,100000000,610000008090,
1225.57,18109.3,1465.76,µm,Spine,Spine Attachment Pt Position,10,5,1,100000000,610000008133,
1219.16,18124,1463.58,µm,Spine,Spine Attachment Pt Position,10,5,1,100000000,610000008177,
1219.08,18124.1,1462.67,µm,Spine,Spine Attachment Pt Position,10,5,1,100000000,610000008231,
1218.45,18124.4,1461.13,µm,Spine,Spine Attachment Pt Position,10,5,1,100000000,610000008262,
1225.89,18110.7,1464.08,µm,Spine,Spine Attachment Pt Position,10,5,1,,610000008482,
1214.56,18110.2,1467.16,µm,Spine,Spine Attachment Pt Position,10,6,1,100000000,610000007880,
1213.34,18109,1466.44,µm,Spine,Spine Attachment Pt Position,10,6,1,,610000008480,
1213.51,18109.2,1466.53,µm,Spine,Spine Attachment Pt Position,10,6,1,,610000008481,
1231.67,18112.7,1476.48,µm,Spine,Spine Attachment Pt Position,11,4,1,100000000,610000008015,
1230.14,18101.5,1473.17,µm,Spine,Spine Attachment Pt Position,11,4,1,,610000008484,
1231.01,18099.7,1476.47,µm,Spine,Spine Attachment Pt Position,12,4,1,100000000,610000007623,
1211.58,18123.4,1460.79,µm,Spine,Spine Attachment Pt Position,12,5,1,100000000,610000007996,
1209.79,18124.1,1461.48,µm,Spine,Spine Attachment Pt Position,12,5,1,,610000008477,
1231.51,18099.5,1470.21,µm,Spine,Spine Attachment Pt Position,12,5,1,,610000008483,
1213.48,18122.7,1457.51,µm,Spine,Spine Attachment Pt Position,12,6,1,,610000008478,
1215.66,18099.7,1473.26,µm,Spine,Spine Attachment Pt Position,13,4,1,100000000,610000008224,
1216.74,18099.8,1473.5,µm,Spine,Spine Attachment Pt Position,13,4,1,,610000008485,
1218.36,18080.1,1472.67,µm,Spine,Spine Attachment Pt Position,13,5,1,100000000,610000008233,
1219.91,18097.5,1473.87,µm,Spine,Spine Attachment Pt Position,13,5,1,,610000008486,
1221.38,18091.3,1473.44,µm,Spine,Spine Attachment Pt Position,13,5,1,,610000008487,
1205.3,18121.6,1460.71,µm,Spine,Spine Attachment Pt Position,13,6,1,,610000008475,
