
Filament No. Segment Branch Pts
 ==================== 
Filament No. Segment Branch Pts,Unit,Category,Time,ID,
55,,Filament,1,100000000,
25,,Filament,1,100000001,
19,,Filament,1,100000002,
13,,Filament,1,100000003,
