
Intensity StdDev Ch=2 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,All touching neurons,ID,
36.7311,,Surface,2,Image 1,1,Class A,0,
40.6386,,Surface,2,Image 1,1,Class A,2,
44.0571,,Surface,2,Image 1,1,Class A,36,
41.7294,,Surface,2,Image 1,1,Class A,94,
