
Intensity Sum of Square Ch=3 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,All touching neurons,ID,
1.8913e+06,,Surface,3,Image 1,1,Class A,0,
2.62817e+06,,Surface,3,Image 1,1,Class A,2,
2.11872e+07,,Surface,3,Image 1,1,Class A,36,
5.42595e+06,,Surface,3,Image 1,1,Class A,94,
