
Intensity Mean Ch=1 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,All touching neurons,ID,
55.502,,Surface,1,Image 1,1,Class A,0,
62.3063,,Surface,1,Image 1,1,Class A,2,
57.4223,,Surface,1,Image 1,1,Class A,36,
61.2114,,Surface,1,Image 1,1,Class A,94,
