
Volume Img=1
 ==================== 
Distance to Surface,Volume,Unit,Collection,Image,Time,ID,
-1.3825,45.3472,µm^3,Volume,Image 1,1,,
-0.8295,170.653,µm^3,Volume,Image 1,1,,
-0.2765,533.264,µm^3,Volume,Image 1,1,,
0.2765,1262.51,µm^3,Volume,Image 1,1,,
0.8295,2278.18,µm^3,Volume,Image 1,1,,
1.3825,3585.88,µm^3,Volume,Image 1,1,,
1.9355,5029.74,µm^3,Volume,Image 1,1,,
2.4885,6572.39,µm^3,Volume,Image 1,1,,
3.0415,7978.67,µm^3,Volume,Image 1,1,,
3.5945,9318.75,µm^3,Volume,Image 1,1,,
4.1475,10432.3,µm^3,Volume,Image 1,1,,
4.7005,11351.8,µm^3,Volume,Image 1,1,,
5.2535,11997.8,µm^3,Volume,Image 1,1,,
5.8065,12436.8,µm^3,Volume,Image 1,1,,
6.3595,12625.1,µm^3,Volume,Image 1,1,,
6.9125,12707.1,µm^3,Volume,Image 1,1,,
7.4655,12599.2,µm^3,Volume,Image 1,1,,
8.0185,12309.8,µm^3,Volume,Image 1,1,,
8.5715,11867.9,µm^3,Volume,Image 1,1,,
9.1245,11434.3,µm^3,Volume,Image 1,1,,
9.6775,10917.2,µm^3,Volume,Image 1,1,,
10.2305,10412.1,µm^3,Volume,Image 1,1,,
10.7835,9999.89,µm^3,Volume,Image 1,1,,
11.3365,9572.76,µm^3,Volume,Image 1,1,,
11.8895,9131.88,µm^3,Volume,Image 1,1,,
12.4425,8736.11,µm^3,Volume,Image 1,1,,
12.9955,8344.4,µm^3,Volume,Image 1,1,,
13.5485,8026.82,µm^3,Volume,Image 1,1,,
14.1015,7685.35,µm^3,Volume,Image 1,1,,
14.6545,7331.06,µm^3,Volume,Image 1,1,,
15.2075,6967.14,µm^3,Volume,Image 1,1,,
15.7605,6668.78,µm^3,Volume,Image 1,1,,
16.3135,6358.83,µm^3,Volume,Image 1,1,,
16.8665,6091.93,µm^3,Volume,Image 1,1,,
17.4195,5797.31,µm^3,Volume,Image 1,1,,
17.9725,5563.9,µm^3,Volume,Image 1,1,,
18.5255,5391.63,µm^3,Volume,Image 1,1,,
19.0785,5201.21,µm^3,Volume,Image 1,1,,
19.6315,5043.08,µm^3,Volume,Image 1,1,,
20.1845,4855.88,µm^3,Volume,Image 1,1,,
20.7375,4695.46,µm^3,Volume,Image 1,1,,
21.2905,4579.69,µm^3,Volume,Image 1,1,,
21.8435,4424.19,µm^3,Volume,Image 1,1,,
22.3965,4302.81,µm^3,Volume,Image 1,1,,
22.9495,4151.29,µm^3,Volume,Image 1,1,,
23.5025,4025.76,µm^3,Volume,Image 1,1,,
24.0555,3926.81,µm^3,Volume,Image 1,1,,
24.6085,3795.92,µm^3,Volume,Image 1,1,,
25.1615,3673.69,µm^3,Volume,Image 1,1,,
25.7145,3526.49,µm^3,Volume,Image 1,1,,
26.2675,3395.21,µm^3,Volume,Image 1,1,,
26.8205,3259.11,µm^3,Volume,Image 1,1,,
27.3735,3074.63,µm^3,Volume,Image 1,1,,
27.9265,2919.69,µm^3,Volume,Image 1,1,,
28.4795,2799.71,µm^3,Volume,Image 1,1,,
29.0325,2673.18,µm^3,Volume,Image 1,1,,
29.5855,2559.92,µm^3,Volume,Image 1,1,,
30.1385,2418.82,µm^3,Volume,Image 1,1,,
30.6915,2274.36,µm^3,Volume,Image 1,1,,
31.2445,2144.21,µm^3,Volume,Image 1,1,,
31.7975,1997.36,µm^3,Volume,Image 1,1,,
32.3505,1859.57,µm^3,Volume,Image 1,1,,
32.9035,1723.4,µm^3,Volume,Image 1,1,,
33.4565,1629.1,µm^3,Volume,Image 1,1,,
34.0095,1512.11,µm^3,Volume,Image 1,1,,
34.5625,1355.89,µm^3,Volume,Image 1,1,,
35.1155,1219.53,µm^3,Volume,Image 1,1,,
35.6685,1064.13,µm^3,Volume,Image 1,1,,
36.2215,894.042,µm^3,Volume,Image 1,1,,
