
Intensity Min Ch=4 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,All touching neurons,ID,
0,,Surface,4,Image 1,1,Class A,0,
0,,Surface,4,Image 1,1,Class A,2,
0,,Surface,4,Image 1,1,Class A,36,
0,,Surface,4,Image 1,1,Class A,94,
